year,week_number,count_type,subtotal_sum,parish_sum,difference,absolute_difference,arithmetic_error,legible_only,legible
1644,52,buried,168,168,0,0,False,False,True
1644,52,plague,2,2,0,0,False,False,True
1644,53,buried,183,183,0,0,False,False,True
1644,53,plague,6,6,0,0,False,False,True
1646,1,buried,197,197,0,0,False,False,False
1646,1,plague,27,27,0,0,False,False,False
1646,2,buried,166,166,0,0,False,False,True
1646,2,plague,16,16,0,0,False,False,True
1646,3,buried,182,182,0,0,False,False,True
1646,3,plague,10,10,0,0,False,False,True
1646,4,buried,197,197,0,0,False,False,True
1646,4,plague,6,6,0,0,False,False,True
1646,5,buried,206,206,0,0,False,False,False
1646,5,plague,18,18,0,0,False,False,False
1646,6,buried,201,201,0,0,False,False,True
1646,6,plague,16,16,0,0,False,False,True
1646,7,buried,184,184,0,0,False,False,True
1646,7,plague,9,9,0,0,False,False,True
1646,8,buried,164,164,0,0,False,False,True
1646,8,plague,2,2,0,0,False,False,True
1646,9,buried,204,204,0,0,False,False,False
1646,9,plague,2,2,0,0,False,False,False
1646,10,buried,205,205,0,0,False,False,True
1646,10,plague,1,1,0,0,False,False,True
1646,11,buried,189,189,0,0,False,False,True
1646,11,plague,4,4,0,0,False,False,True
1646,12,buried,199,200,-1,1,True,False,True
1646,12,plague,2,2,0,0,False,False,True
1646,13,buried,198,198,0,0,False,False,False
1646,13,plague,3,5,-2,2,True,False,False
1646,14,buried,383,382,1,1,True,False,False
1646,14,plague,8,8,0,0,False,False,False
1646,15,buried,190,190,0,0,False,False,True
1646,15,plague,2,2,0,0,False,False,True
1646,16,buried,210,210,0,0,False,False,True
1646,16,plague,4,4,0,0,False,False,True
1646,17,buried,204,204,0,0,False,False,True
1646,17,plague,8,8,0,0,False,False,True
1646,18,buried,209,209,0,0,False,False,True
1646,18,plague,6,6,0,0,False,False,True
1646,19,buried,172,172,0,0,False,False,True
1646,19,plague,5,5,0,0,False,False,True
1646,20,buried,186,186,0,0,False,False,True
1646,20,plague,6,6,0,0,False,False,True
1646,21,buried,204,204,0,0,False,False,True
1646,21,plague,9,9,0,0,False,False,True
1646,22,buried,199,198,1,1,True,False,False
1646,22,plague,5,5,0,0,False,False,False
1646,23,buried,221,221,0,0,False,False,False
1646,23,plague,5,5,0,0,False,False,False
1646,24,buried,205,204,1,1,True,False,False
1646,24,plague,9,9,0,0,False,False,False
1646,25,buried,170,172,-2,2,True,False,True
1646,25,plague,13,13,0,0,False,False,True
1646,26,buried,225,225,0,0,False,False,True
1646,26,plague,22,22,0,0,False,False,True
1646,28,buried,223,223,0,0,False,False,True
1646,28,plague,25,25,0,0,False,False,True
1646,29,buried,235,235,0,0,False,False,True
1646,29,plague,28,28,0,0,False,False,True
1646,30,buried,306,307,-1,1,True,False,True
1646,30,plague,50,50,0,0,False,False,True
1646,31,buried,364,364,0,0,False,False,True
1646,31,plague,58,58,0,0,False,False,True
1646,34,buried,419,419,0,0,False,False,True
1646,34,plague,132,132,0,0,False,False,True
1646,35,buried,472,472,0,0,False,False,True
1646,35,plague,195,195,0,0,False,False,True
1646,36,buried,517,517,0,0,False,False,False
1646,36,plague,207,207,0,0,False,False,False
1646,39,buried,455,455,0,0,False,False,False
1646,39,plague,157,157,0,0,False,False,False
1646,40,buried,443,443,0,0,False,False,False
1646,40,plague,175,139,36,36,True,False,False
1646,41,buried,322,322,0,0,False,False,True
1646,41,plague,114,114,0,0,False,False,True
1646,42,buried,341,342,-1,1,True,False,True
1646,42,plague,115,115,0,0,False,False,True
1646,43,buried,320,320,0,0,False,False,True
1646,43,plague,106,106,0,0,False,False,True
1646,45,buried,245,245,0,0,False,False,True
