week,unique_identifier,start_day,start_month,end_day,end_month,parish_name,count_type,count,year
21,1669-21-recto,11,May,18,May,St Botolph Bishopsgate,Buried,5,1669
21,1669-21-recto,11,May,18,May,St Botolph Bishopsgate,Plague,,1669
21,1669-21-recto,11,May,18,May,St Dunstan West,Buried,3,1669
21,1669-21-recto,11,May,18,May,St Dunstan West,Plague,,1669
21,1669-21-recto,11,May,18,May,St George Southwark,Buried,3,1669
21,1669-21-recto,11,May,18,May,St George Southwark,Plague,,1669
21,1669-21-recto,11,May,18,May,St Giles Cripplegate,Buried,24,1669
21,1669-21-recto,11,May,18,May,St Giles Cripplegate,Plague,,1669
21,1669-21-recto,11,May,18,May,St Olave Southwark,Buried,6,1669
21,1669-21-recto,11,May,18,May,St Olave Southwark,Plague,,1669
21,1669-21-recto,11,May,18,May,Saviours Southwark,Buried,15,1669
21,1669-21-recto,11,May,18,May,Saviours Southwark,Plague,,1669
21,1669-21-recto,11,May,18,May,S Sepulchres Parish,Buried,7,1669
21,1669-21-recto,11,May,18,May,S Sepulchres Parish,Plague,,1669
21,1669-21-recto,11,May,18,May,St Thomas Southwark,Buried,,1669
21,1669-21-recto,11,May,18,May,St Thomas Southwark,Plague,,1669
21,1669-21-recto,11,May,18,May,Trinity Minories,Buried,1,1669
21,1669-21-recto,11,May,18,May,Trinity Minories,Plague,,1669
21,1669-21-recto,11,May,18,May,At the Pesthouse,Buried,,1669
21,1669-21-recto,11,May,18,May,At the Pesthouse,Plague,,1669
21,1669-21-recto,11,May,18,May,Christened in the 16 Parishes without the Walls,,77,1669
21,1669-21-recto,11,May,18,May,Buried in the 16 Parishes without the Walls,,95,1669
21,1669-21-recto,11,May,18,May,Plague in the 16 Parishes without the Walls,,0,1669
21,1669-21-recto,11,May,18,May,St Giles in the Field,Buried,14,1669
21,1669-21-recto,11,May,18,May,St Giles in the Field,Plague,,1669
21,1669-21-recto,11,May,18,May,Hackney Parish,Buried,4,1669
21,1669-21-recto,11,May,18,May,Hackney Parish,Plague,,1669
21,1669-21-recto,11,May,18,May,St James Clerkenwel,Buried,5,1669
21,1669-21-recto,11,May,18,May,St James Clerkenwel,Plague,,1669
21,1669-21-recto,11,May,18,May,St Katharine Tower,Buried,6,1669
21,1669-21-recto,11,May,18,May,St Katharine Tower,Plague,,1669
21,1669-21-recto,11,May,18,May,Lambeth Parish,Buried,3,1669
21,1669-21-recto,11,May,18,May,Lambeth Parish,Plague,,1669
21,1669-21-recto,11,May,18,May,St Leonard Shoreditch,Buried,8,1669
21,1669-21-recto,11,May,18,May,St Leonard Shoreditch,Plague,,1669
21,1669-21-recto,11,May,18,May,St Magdalen Bermondsey,Buried,4,1669
21,1669-21-recto,11,May,18,May,St Magdalen Bermondsey,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Islington,Buried,2,1669
21,1669-21-recto,11,May,18,May,St Mary Islington,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Newington,Buried,4,1669
21,1669-21-recto,11,May,18,May,St Mary Newington,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Whitechappel,Buried,17,1669
21,1669-21-recto,11,May,18,May,St Mary Whitechappel,Plague,,1669
21,1669-21-recto,11,May,18,May,St Pauls Shadwel,Buried,,1669
21,1669-21-recto,11,May,18,May,St Pauls Shadwel,Plague,,1669
21,1669-21-recto,11,May,18,May,Rothorith Parish,Buried,1,1669
21,1669-21-recto,11,May,18,May,Rothorith Parish,Plague,,1669
21,1669-21-recto,11,May,18,May,Stepney Parish,Buried,32,1669
21,1669-21-recto,11,May,18,May,Stepney Parish,Plague,,1669
21,1669-21-recto,11,May,18,May,Christened in the 13 out,Parishes in Middlesex and Surrey,84,1669
21,1669-21-recto,11,May,18,May,Buried in the 13 out,Parishes in Middlesex and Surrey,97,1669
21,1669-21-recto,11,May,18,May,Plague in the 13 out,Parishes in Middlesex and Surrey,0,1669
21,1669-21-recto,11,May,18,May,St Clement Danes,Buried,11,1669
21,1669-21-recto,11,May,18,May,St Clement Danes,Plague,,1669
21,1669-21-recto,11,May,18,May,St Paul Covent Garden,Buried,2,1669
21,1669-21-recto,11,May,18,May,St Paul Covent Garden,Plague,,1669
21,1669-21-recto,11,May,18,May,St Martin in the fields,Buried,17,1669
21,1669-21-recto,11,May,18,May,St Martin in the fields,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Savoy,Buried,2,1669
21,1669-21-recto,11,May,18,May,St Mary Savoy,Plague,,1669
21,1669-21-recto,11,May,18,May,St Margaret Westminster,Buried,15,1669
21,1669-21-recto,11,May,18,May,St Margaret Westminster,Plague,,1669
21,1669-21-recto,11,May,18,May,Whereof at the Pesthouse,Buried,,1669
21,1669-21-recto,11,May,18,May,Whereof at the Pesthouse,Plague,,1669
21,1669-21-recto,11,May,18,May,Christened in the 5 Parishes in the City and Liberties of Westminster,,43,1669
21,1669-21-recto,11,May,18,May,Buried in the 5 Parishes in the City and Liberties of Westminster,,47,1669
21,1669-21-recto,11,May,18,May,Plague in the 5 Parishes in the City and Liberties of Westminster,,0,1669
22,1669-22-recto,18,May,25,May,St Alban Woodstreet,Buried,1,1669
22,1669-22-recto,18,May,25,May,St Alban Woodstreet,Plague,,1669
22,1669-22-recto,18,May,25,May,Alhallows Barking,Buried,1,1669
22,1669-22-recto,18,May,25,May,Alhallows Barking,Plague,,1669
22,1669-22-recto,18,May,25,May,Alhallows Breadstreet,Buried,,1669
22,1669-22-recto,18,May,25,May,Alhallows Breadstreet,Plague,,1669
22,1669-22-recto,18,May,25,May,Alhallows Great,Buried,,1669
22,1669-22-recto,18,May,25,May,Alhallows Great,Plague,,1669
22,1669-22-recto,18,May,25,May,Alhallows Honylane,Buried,,1669
22,1669-22-recto,18,May,25,May,Alhallows Honylane,Plague,,1669
22,1669-22-recto,18,May,25,May,Alhallows Lesse,Buried,,1669
22,1669-22-recto,18,May,25,May,Alhallows Lesse,Plague,,1669
22,1669-22-recto,18,May,25,May,Alhallows Lumbardstreet,Buried,,1669
22,1669-22-recto,18,May,25,May,Alhallows Lumbardstreet,Plague,,1669
22,1669-22-recto,18,May,25,May,Alhallows Stayning,Buried,,1669
