count_type,count,bill_type,parish_id,id,week_id,year_range,year_id,split_year
Plague,,Weekly,9,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,14,Weekly,53,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,53,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,4,Weekly,12,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,12,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,5,Weekly,56,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,56,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,6,Weekly,64,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,64,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,3,Weekly,13,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,13,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,8,Weekly,69,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,69,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,4,Weekly,70,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,70,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,Weekly,89,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,89,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,4,Weekly,92,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,92,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,17,Weekly,96,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,96,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,120,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,120,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,Weekly,14,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,14,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,32,Weekly,130,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,130,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,11,Weekly,40,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,40,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,Weekly,119,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,119,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,17,Weekly,77,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,77,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,Weekly,93,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,93,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,15,Weekly,76,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,76,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,133,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,133,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,Weekly,17,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,17,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,Weekly,1,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,1,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,2,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,2,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,3,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,3,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,4,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,4,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,5,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,5,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,6,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,6,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,7,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,7,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,Weekly,8,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,8,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,Weekly,18,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,18,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,20,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,20,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,21,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,21,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,22,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,22,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,Weekly,23,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,23,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,2,Weekly,24,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,24,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,25,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,25,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,26,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,26,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,27,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,27,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,30,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,30,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,31,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,31,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,32,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,32,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,33,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,33,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,36,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,36,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,11,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,11,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,39,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,39,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,41,2,1668-1669-22,1668-1669,1669,1668/1669
