count,count_type,bill_type,parish_id,year,week_id,year_range,split_year
63,Total,General,66,1682,1681-1682-90,1681-1682,1681/1682
18,Total,General,69,1682,1681-1682-90,1681-1682,1681/1682
9,Total,General,70,1682,1681-1682-90,1681-1682,1681/1682
28,Total,General,72,1682,1681-1682-90,1681-1682,1681/1682
48,Total,General,73,1682,1681-1682-90,1681-1682,1681/1682
79,Total,General,74,1682,1681-1682-90,1681-1682,1681/1682
46,Total,General,76,1682,1681-1682-90,1681-1682,1681/1682
15,Total,General,77,1682,1681-1682-90,1681-1682,1681/1682
14,Total,General,78,1682,1681-1682-90,1681-1682,1681/1682
29,Total,General,79,1682,1681-1682-90,1681-1682,1681/1682
45,Total,General,82,1682,1681-1682-90,1681-1682,1681/1682
33,Total,General,83,1682,1681-1682-90,1681-1682,1681/1682
2,Total,General,84,1682,1681-1682-90,1681-1682,1681/1682
0,Total,General,85,1682,1681-1682-90,1681-1682,1681/1682
12,Total,General,86,1682,1681-1682-90,1681-1682,1681/1682
27,Total,General,94,1682,1681-1682-90,1681-1682,1681/1682
30,Total,General,95,1682,1681-1682-90,1681-1682,1681/1682
42,Total,General,96,1682,1681-1682-90,1681-1682,1681/1682
11,Total,General,101,1682,1681-1682-90,1681-1682,1681/1682
7,Total,General,97,1682,1681-1682-90,1681-1682,1681/1682
5,Total,General,98,1682,1681-1682-90,1681-1682,1681/1682
31,Total,General,99,1682,1681-1682-90,1681-1682,1681/1682
14,Total,General,103,1682,1681-1682-90,1681-1682,1681/1682
57,Total,General,106,1682,1681-1682-90,1681-1682,1681/1682
12,Total,General,107,1682,1681-1682-90,1681-1682,1681/1682
0,Total,General,109,1682,1681-1682-90,1681-1682,1681/1682
37,Total,General,110,1682,1681-1682-90,1681-1682,1681/1682
6,Total,General,89,1682,1681-1682-90,1681-1682,1681/1682
42,Total,General,90,1682,1681-1682-90,1681-1682,1681/1682
26,Total,General,91,1682,1681-1682-90,1681-1682,1681/1682
8,Total,General,92,1682,1681-1682-90,1681-1682,1681/1682
39,Total,General,93,1682,1681-1682-90,1681-1682,1681/1682
15,Total,General,112,1682,1681-1682-90,1681-1682,1681/1682
0,Total,General,113,1682,1681-1682-90,1681-1682,1681/1682
36,Total,General,114,1682,1681-1682-90,1681-1682,1681/1682
29,Total,General,115,1682,1681-1682-90,1681-1682,1681/1682
33,Total,General,116,1682,1681-1682-90,1681-1682,1681/1682
34,Total,General,117,1682,1681-1682-90,1681-1682,1681/1682
46,Total,General,118,1682,1681-1682-90,1681-1682,1681/1682
12,Total,General,119,1682,1681-1682-90,1681-1682,1681/1682
19,Total,General,120,1682,1681-1682-90,1681-1682,1681/1682
22,Total,General,121,1682,1681-1682-90,1681-1682,1681/1682
