year,week_number,unique_identifier,start_day,start_month,end_day,end_month,christening,count
1701,38,Laxton-1701-38-verso,2,September,9,September,Christened (Male),149
1701,38,Laxton-1701-38-verso,2,September,9,September,Christened (Female),144
1701,38,Laxton-1701-38-verso,2,September,9,September,Christened (In All),293
1701,39,Laxton-1701-39-verso,9,September,16,September,Christened (Male),159
1701,39,Laxton-1701-39-verso,9,September,16,September,Christened (Female),139
1701,39,Laxton-1701-39-verso,9,September,16,September,Christened (In All),298
1701,40,Laxton-1701-40-verso,16,September,23,September,Christened (Male),155
1701,40,Laxton-1701-40-verso,16,September,23,September,Christened (Female),163
1701,40,Laxton-1701-40-verso,16,September,23,September,Christened (In All),318
1701,41,Laxton-1701-41-verso,23,September,30,September,Christened (Male),150
1701,41,Laxton-1701-41-verso,23,September,30,September,Christened (Female),162
1701,41,Laxton-1701-41-verso,23,September,30,September,Christened (In All),312
1701,42,Laxton-1701-42-verso,30,September,7,October,Christened (Male),162
1701,42,Laxton-1701-42-verso,30,September,7,October,Christened (Female),133
1701,42,Laxton-1701-42-verso,30,September,7,October,Christened (In All),295
1702,15,Laxton-1702-15-verso,24,March,31,March,Christened (Male),145
1702,15,Laxton-1702-15-verso,24,March,31,March,Christened (Female),151
1702,15,Laxton-1702-15-verso,24,March,31,March,Christened (In All),296
1702,16,Laxton-1702-16-verso,31,March,7,April,Christened (Male),152
1702,16,Laxton-1702-16-verso,31,March,7,April,Christened (Female),130
1702,16,Laxton-1702-16-verso,31,March,7,April,Christened (In All),282
1702,17,Laxton-1702-17-verso,7,April,14,April,Christened (Male),160
1702,17,Laxton-1702-17-verso,7,April,14,April,Christened (Female),148
1702,17,Laxton-1702-17-verso,7,April,14,April,Christened (In All),308
1702,18,Laxton-1702-18-verso,14,April,21,April,Christened (Male),144
1702,18,Laxton-1702-18-verso,14,April,21,April,Christened (Female),171
1702,18,Laxton-1702-18-verso,14,April,21,April,Christened (In All),315
1702,19,Laxton-1702-19-verso,21,April,28,April,Christened (Male),96
1702,19,Laxton-1702-19-verso,21,April,28,April,Christened (Female),186
1702,19,Laxton-1702-19-verso,21,April,28,April,Christened (In All),282
1702,20,Laxton-1702-20-verso,28,April,5,May,Christened (Male),158
1702,20,Laxton-1702-20-verso,28,April,5,May,Christened (Female),152
1702,20,Laxton-1702-20-verso,28,April,5,May,Christened (In All),310
1702,21,Laxton-1702-21-verso,5,May,12,May,Christened (Male),161
1702,21,Laxton-1702-21-verso,5,May,12,May,Christened (Female),143
1702,21,Laxton-1702-21-verso,5,May,12,May,Christened (In All),304
1702,22,Laxton-1702-22-verso,12,May,19,May,Christened (Male),148
1702,22,Laxton-1702-22-verso,12,May,19,May,Christened (Female),142
1702,22,Laxton-1702-22-verso,12,May,19,May,Christened (In All),290
1702,23,Laxton-1702-23-verso,19,May,26,May,Christened (Male),155
1702,23,Laxton-1702-23-verso,19,May,26,May,Christened (Female),132
1702,23,Laxton-1702-23-verso,19,May,26,May,Christened (In All),287
1702,24,Laxton-1702-24-verso,26,May,2,June,Christened (Male),160
1702,24,Laxton-1702-24-verso,26,May,2,June,Christened (Female),165
1702,24,Laxton-1702-24-verso,26,May,2,June,Christened (In All),325
1702,25,Laxton-1702-25-verso,2,June,9,June,Christened (Male),129
1702,25,Laxton-1702-25-verso,2,June,9,June,Christened (Female),111
1702,25,Laxton-1702-25-verso,2,June,9,June,Christened (In All),240
1702,26,Laxton-1702-26-verso,9,June,16,June,Christened (Male),119
1702,26,Laxton-1702-26-verso,9,June,16,June,Christened (Female),137
1702,26,Laxton-1702-26-verso,9,June,16,June,Christened (In All),256
1702,27,Laxton-1702-27-verso,16,June,23,June,Christened (Male),159
1702,27,Laxton-1702-27-verso,16,June,23,June,Christened (Female),140
1702,27,Laxton-1702-27-verso,16,June,23,June,Christened (In All),299
1702,28,Laxton-1702-28-verso,23,June,30,June,Christened (Male),190
1702,28,Laxton-1702-28-verso,23,June,30,June,Christened (Female),112
1702,28,Laxton-1702-28-verso,23,June,30,June,Christened (In All),302
1702,29,Laxton-1702-29-verso,30,June,7,July,Christened (Male),149
1702,29,Laxton-1702-29-verso,30,June,7,July,Christened (Female),116
1702,29,Laxton-1702-29-verso,30,June,7,July,Christened (In All),265
1702,30,Laxton-1702-30-verso,7,July,14,July,Christened (Male),155
1702,30,Laxton-1702-30-verso,7,July,14,July,Christened (Female),148
1702,30,Laxton-1702-30-verso,7,July,14,July,Christened (In All),303
1702,31,Laxton-1702-31-verso,14,July,21,July,Christened (Male),144
1702,31,Laxton-1702-31-verso,14,July,21,July,Christened (Female),142
1702,31,Laxton-1702-31-verso,14,July,21,July,Christened (In All),286
1702,32,Laxton-1702-32-verso,21,July,28,July,Christened (Male),162
1702,32,Laxton-1702-32-verso,21,July,28,July,Christened (Female),152
1702,32,Laxton-1702-32-verso,21,July,28,July,Christened (In All),314
1702,33,Laxton-1702-33-verso,28,July,4,August,Christened (Male),169
1702,33,Laxton-1702-33-verso,28,July,4,August,Christened (Female),145
1702,33,Laxton-1702-33-verso,28,July,4,August,Christened (In All),314
1702,34,Laxton-1702-34-verso,4,August,11,August,Christened (Male),159
1702,34,Laxton-1702-34-verso,4,August,11,August,Christened (Female),157
1702,34,Laxton-1702-34-verso,4,August,11,August,Christened (In All),316
1702,35,Laxton-1702-35-verso,11,August,18,August,Christened (Male),152
1702,35,Laxton-1702-35-verso,11,August,18,August,Christened (Female),141
1702,35,Laxton-1702-35-verso,11,August,18,August,Christened (In All),293
1702,36,Laxton-1702-36-verso,18,August,25,August,Christened (Male),153
1702,36,Laxton-1702-36-verso,18,August,25,August,Christened (Female),157
1702,36,Laxton-1702-36-verso,18,August,25,August,Christened (In All),310
1702,37,Laxton-1702-37-verso,25,August,1,September,Christened (Male),128
1702,37,Laxton-1702-37-verso,25,August,1,September,Christened (Female),168
1702,37,Laxton-1702-37-verso,25,August,1,September,Christened (In All),296
1702,38,Laxton-1702-38-verso,1,September,8,September,Christened (Male),160
1702,38,Laxton-1702-38-verso,1,September,8,September,Christened (Female),141
1702,38,Laxton-1702-38-verso,1,September,8,September,Christened (In All),301
1702,39,Laxton-1702-39-verso,8,September,15,September,Christened (Male),163
1702,39,Laxton-1702-39-verso,8,September,15,September,Christened (Female),138
1702,39,Laxton-1702-39-verso,8,September,15,September,Christened (In All),301
1702,40,Laxton-1702-40-verso,15,September,22,September,Christened (Male),163
1702,40,Laxton-1702-40-verso,15,September,22,September,Christened (Female),132
1702,40,Laxton-1702-40-verso,15,September,22,September,Christened (In All),295
1702,41,Laxton-1702-41-verso,22,September,29,September,Christened (Male),165
1702,41,Laxton-1702-41-verso,22,September,29,September,Christened (Female),169
1702,41,Laxton-1702-41-verso,22,September,29,September,Christened (In All),334
1702,42,Laxton-1702-42-verso,29,September,6,October,Christened (Male),173
1702,42,Laxton-1702-42-verso,29,September,6,October,Christened (Female),154
1702,42,Laxton-1702-42-verso,29,September,6,October,Christened (In All),327
1702,43,Laxton-1702-43-verso,6,October,13,October,Christened (Male),172
1702,43,Laxton-1702-43-verso,6,October,13,October,Christened (Female),142
1702,43,Laxton-1702-43-verso,6,October,13,October,Christened (In All),314
1702,44,Laxton-1702-44-verso,13,October,20,October,Christened (Male),170
1702,44,Laxton-1702-44-verso,13,October,20,October,Christened (Female),143
1702,44,Laxton-1702-44-verso,13,October,20,October,Christened (In All),313
1701,45,Laxton-1701-45-verso,20,October,27,October,Christened (Male),149
1701,45,Laxton-1701-45-verso,20,October,27,October,Christened (Female),153
1701,45,Laxton-1701-45-verso,20,October,27,October,Christened (In All),302
1701,46,Laxton-1701-46-verso,27,October,3,November,Christened (Male),138
1701,46,Laxton-1701-46-verso,27,October,3,November,Christened (Female),122
1701,46,Laxton-1701-46-verso,27,October,3,November,Christened (In All),260
1702,47,Laxton-1702-47-verso,3,November,10,November,Christened (Male),177
1702,47,Laxton-1702-47-verso,3,November,10,November,Christened (Female),158
1702,47,Laxton-1702-47-verso,3,November,10,November,Christened (In All),335
1702,48,Laxton-1702-48-verso,10,November,17,November,Christened (Male),124
1702,48,Laxton-1702-48-verso,10,November,17,November,Christened (Female),157
1702,48,Laxton-1702-48-verso,10,November,17,November,Christened (In All),281
1702,49,Laxton-1702-49-verso,17,November,24,November,Christened (Male),147
1702,49,Laxton-1702-49-verso,17,November,24,November,Christened (Female),130
1702,49,Laxton-1702-49-verso,17,November,24,November,Christened (In All),277
1702,50,Laxton-1702-50-verso,24,November,1,December,Christened (Male),140
1702,50,Laxton-1702-50-verso,24,November,1,December,Christened (Female),167
1702,50,Laxton-1702-50-verso,24,November,1,December,Christened (In All),307
1702,51,Laxton-1702-51-verso,1,December,8,December,Christened (Male),157
1702,51,Laxton-1702-51-verso,1,December,8,December,Christened (Female),170
1702,51,Laxton-1702-51-verso,1,December,8,December,Christened (In All),327
1702,52,Laxton-1702-52-verso,8,December,15,December,Christened (Male),167
1702,52,Laxton-1702-52-verso,8,December,15,December,Christened (Female),148
