year,count_type,all_mean_absolute_difference,all_comparable_weeks,legible_mean_absolute_difference,legible_comparable_weeks,total_weeks,illegible_weeks,legible_weeks,percent_legible,fully_legible
1673,buried,1.3333333333333333,51,1.1,40,51,11,40,78.43137254901961,False
1673,plague,0.0,51,0.0,40,51,11,40,78.43137254901961,False
1674,buried,2.7291666666666665,48,2.3142857142857145,35,52,14,38,73.07692307692308,False
1674,plague,0.0,48,0.0,35,52,14,38,73.07692307692308,False
1675,buried,3.0961538461538463,52,1.8837209302325582,43,52,9,43,82.6923076923077,False
1675,plague,0.0,52,0.0,43,52,9,43,82.6923076923077,False
1676,buried,3.1153846153846154,52,2.8260869565217392,46,54,7,47,87.03703703703704,False
1676,plague,0.07692307692307693,52,0.08695652173913043,46,54,7,47,87.03703703703704,False
1677,buried,6.230769230769231,52,6.1875,48,53,5,48,90.56603773584905,False
1677,plague,0.019230769230769232,52,0.020833333333333332,48,53,5,48,90.56603773584905,False
1678,buried,2.2115384615384617,52,1.8085106382978724,47,53,5,48,90.56603773584905,False
1678,plague,0.0,52,0.0,47,53,5,48,90.56603773584905,False
1679,buried,3.06,50,3.1702127659574466,47,51,4,47,92.15686274509804,False
1679,plague,0.0,50,0.0,47,51,4,47,92.15686274509804,False
1680,buried,4.196078431372549,51,1.0,39,51,12,39,76.47058823529412,False
1680,plague,0.0,51,0.0,39,51,12,39,76.47058823529412,False
1681,buried,6.269230769230769,52,2.558139534883721,43,52,9,43,82.6923076923077,False
1681,plague,0.0,52,0.0,43,52,9,43,82.6923076923077,False
1682,buried,3.173076923076923,52,2.2857142857142856,49,52,3,49,94.23076923076923,False
1682,plague,0.0,52,0.0,49,52,3,49,94.23076923076923,False
1683,buried,6.980392156862745,51,6.980392156862745,51,51,0,51,100.0,True
1683,plague,0.0,51,0.0,51,51,0,51,100.0,True
1684,buried,10.872340425531915,47,11.409090909090908,44,48,3,45,93.75,False
1684,plague,0.0,47,0.0,44,48,3,45,93.75,False
1685,buried,6.576923076923077,52,4.270833333333333,48,52,4,48,92.3076923076923,False
1685,plague,0.0,52,0.0,48,52,4,48,92.3076923076923,False
1686,buried,1.6153846153846154,52,1.6470588235294117,51,52,1,51,98.07692307692308,False
1686,plague,0.0,52,0.0,51,52,1,51,98.07692307692308,False
1687,buried,1.25,52,0.66,50,52,2,50,96.15384615384616,False
1687,plague,0.0,52,0.0,50,52,2,50,96.15384615384616,False
1688,buried,0.3137254901960784,51,0.3137254901960784,51,51,0,51,100.0,True
1688,plague,0.0,51,0.0,51,51,0,51,100.0,True
1689,buried,3.156862745098039,51,3.3617021276595747,47,51,4,47,92.15686274509804,False
1689,plague,0.0,51,0.0,47,51,4,47,92.15686274509804,False
1690,buried,1.0,52,1.04,50,53,3,50,94.33962264150944,False
1690,plague,0.0,52,0.0,50,53,3,50,94.33962264150944,False
1691,buried,0.7692307692307693,52,0.7209302325581395,43,53,9,44,83.01886792452831,False
1691,plague,0.0,52,0.0,43,53,9,44,83.01886792452831,False
1692,buried,2.4038461538461537,52,1.5217391304347827,46,52,6,46,88.46153846153847,False
1692,plague,0.0,52,0.0,46,52,6,46,88.46153846153847,False
1693,buried,4.823529411764706,51,1.0,36,51,15,36,70.58823529411765,False
1693,plague,0.0,51,0.0,36,51,15,36,70.58823529411765,False
1694,buried,5.28,50,4.255813953488372,43,51,7,44,86.27450980392157,False
1694,plague,0.0,50,0.0,43,51,7,44,86.27450980392157,False
1695,buried,0.9423076923076923,52,1.1162790697674418,43,53,10,43,81.13207547169812,False
1695,plague,0.0,52,0.0,43,53,10,43,81.13207547169812,False
1696,buried,1.4423076923076923,52,1.4390243902439024,41,52,11,41,78.84615384615384,False
1696,plague,0.0,52,0.0,41,52,11,41,78.84615384615384,False
1697,buried,1.4807692307692308,52,1.302325581395349,43,52,9,43,82.6923076923077,False
1697,plague,0.0,52,0.0,43,52,9,43,82.6923076923077,False
1698,buried,1.84,50,0.8125,48,50,2,48,96.0,False
1698,plague,0.0,50,0.0,48,50,2,48,96.0,False
1699,buried,1.0980392156862746,51,0.9387755102040817,49,51,2,49,96.07843137254902,False
1699,plague,0.0,51,0.0,49,51,2,49,96.07843137254902,False
1700,buried,2.9166666666666665,36,0.7307692307692307,26,37,10,27,72.97297297297297,False
1700,plague,0.0,36,0.0,26,37,10,27,72.97297297297297,False
1701,buried,1.8,45,1.625,32,46,14,32,69.56521739130434,False
1702,buried,1.4038461538461537,52,0.10344827586206896,29,52,23,29,55.76923076923077,False
1703,buried,0.36538461538461536,52,0.2631578947368421,38,52,14,38,73.07692307692308,False
1704,buried,1.9803921568627452,51,2.061224489795918,49,51,2,49,96.07843137254902,False
1705,buried,1.6730769230769231,52,1.8297872340425532,47,52,5,47,90.38461538461539,False
1706,buried,0.47058823529411764,51,0.1702127659574468,47,52,4,48,92.3076923076923,False
1707,buried,0.2830188679245283,53,0.30612244897959184,49,53,4,49,92.45283018867924,False
1708,buried,1.4230769230769231,52,0.6590909090909091,44,52,8,44,84.61538461538461,False
1709,buried,2.5384615384615383,52,0.19444444444444445,36,52,16,36,69.23076923076923,False
1710,buried,1.5961538461538463,52,0.9743589743589743,39,52,13,39,75.0,False
1711,buried,8.549019607843137,51,5.394736842105263,38,52,13,39,75.0,False
1712,buried,2.547169811320755,53,1.8181818181818181,33,53,20,33,62.264150943396224,False
1713,buried,3.2244897959183674,49,0.84375,32,50,18,32,64.0,False
1714,buried,2.019230769230769,52,2.1,50,53,3,50,94.33962264150944,False
1715,buried,1.1372549019607843,51,1.2608695652173914,46,51,5,46,90.19607843137256,False
1716,buried,7.018867924528302,53,1.4102564102564104,39,53,14,39,73.58490566037736,False
1717,buried,16.67391304347826,46,5.36,25,52,26,26,50.0,False
1718,buried,8.375,8,0.0,3,8,5,3,37.5,False
1719,buried,1.125,48,0.6190476190476191,42,48,6,42,87.5,False
1720,buried,4.615384615384615,52,0.625,40,52,12,40,76.92307692307692,False
1721,buried,1.7872340425531914,47,0.02702702702702703,37,48,11,37,77.08333333333333,False
1722,buried,4.98,50,5.4222222222222225,45,50,5,45,90.0,False
1723,buried,2.6923076923076925,52,1.675,40,53,12,41,77.35849056603773,False
1724,buried,0.4423076923076923,52,0.125,32,52,20,32,61.53846153846154,False
1725,buried,0.36538461538461536,52,0.38235294117647056,34,52,18,34,65.38461538461539,False
1726,buried,5.519230769230769,52,2.08,25,52,27,25,48.07692307692308,False
1727,buried,5.25,52,1.5714285714285714,28,52,24,28,53.84615384615385,False
1728,buried,2.0961538461538463,52,0.9772727272727273,44,52,8,44,84.61538461538461,False
1729,buried,4.519230769230769,52,0.90625,32,53,21,32,60.37735849056604,False
1730,buried,1.0566037735849056,53,0.4222222222222222,45,53,8,45,84.90566037735849,False
1731,buried,2.6538461538461537,52,2.6666666666666665,48,52,4,48,92.3076923076923,False
1732,buried,0.8431372549019608,51,1.1111111111111112,36,51,15,36,70.58823529411765,False
1733,buried,1.9807692307692308,52,0.8837209302325582,43,53,10,43,81.13207547169812,False
1734,buried,0.5192307692307693,52,0.3695652173913043,46,52,6,46,88.46153846153847,False
1735,buried,0.40384615384615385,52,0.35714285714285715,42,52,10,42,80.76923076923077,False
1736,buried,8.057692307692308,52,0.3333333333333333,39,52,13,39,75.0,False
1737,buried,6.211538461538462,52,1.2439024390243902,41,52,11,41,78.84615384615384,False
1738,buried,1.3461538461538463,52,0.48484848484848486,33,52,19,33,63.46153846153846,False
1739,buried,6.980769230769231,52,2.606060606060606,33,52,19,33,63.46153846153846,False
1740,buried,6.903846153846154,52,1.65,20,54,33,21,38.888888888888886,False
1741,buried,13.10344827586207,29,10.125,8,29,21,8,27.586206896551722,False
1742,buried,10.96078431372549,51,8.466666666666667,15,51,36,15,29.41176470588235,False
1743,buried,3.9215686274509802,51,1.878787878787879,33,51,18,33,64.70588235294117,False
1744,buried,5.0,52,5.6,45,52,7,45,86.53846153846153,False
1745,buried,9.5,52,2.5428571428571427,35,53,18,35,66.0377358490566,False
1746,buried,7.230769230769231,52,3.4444444444444446,18,52,34,18,34.61538461538461,False
1747,buried,13.673076923076923,52,6.90625,32,52,20,32,61.53846153846154,False
1748,buried,2.980769230769231,52,4.28125,32,52,20,32,61.53846153846154,False
1749,buried,0.8653846153846154,52,0.3953488372093023,43,52,9,43,82.6923076923077,False
1750,buried,6.403846153846154,52,0.8709677419354839,31,52,21,31,59.61538461538461,False
1751,buried,5.536585365853658,41,1.037037037037037,27,41,14,27,65.85365853658537,False
1752,buried,8.885714285714286,35,10.210526315789474,19,35,16,19,54.285714285714285,False
