Year,edited_cause,number,original_Year,original_cause,original_number
1692,Aged & Bed-ridden,1412,1692,aged and bedridden,1412
1693,Aged & Bed-ridden,1262,1693,aged and bedridden,1262
1694,Aged & Bed-ridden,1249,1694,aged and bedridden,1249
1695,Aged & Bed-ridden,1025,1695,aged and bedridden,1025
1696,Aged & Bed-ridden,946,1696,aged and bedridden,946
1697,Aged & Bed-ridden,1314,1697,aged and bedridden,1314
1698,Aged & Bed-ridden,1023,1698,aged and bedridden,1023
1699,Aged & Bed-ridden,1211,1699,aged and bedridden,1211
1700,Aged & Bed-ridden,1242,1700,aged and bedridden,1242
1701,Aged & Bed-ridden,1456,1701,aged and bedridden,1456
1629,Ague,32,1629,ague,32
1630,Ague,50,1630,ague,50
1631,Ague,55,1631,ague,55
1632,Ague,43,1632,ague,43
1633,Ague,10,1633,ague,10
1634,Ague,11,1634,ague,11
1667,Ague,31,1667,ague,31
1668,Ague,21,1668,ague,21
1702,Ague,3,1702,ague,3
1703,Ague,7,1703,ague,7
1704,Ague,6,1704,ague,6
1705,Ague,3,1705,ague,3
1706,Ague,2,1706,ague,2
1707,Ague,2,1707,ague,2
1708,Ague,4,1708,ague,4
1709,Ague,15,1709,ague,15
1710,Ague,110,1710,ague,110
1711,Ague,1,1711,ague,1
1712,Ague,8,1712,ague,8
1713,Ague,11,1713,ague,11
1714,Ague,4,1714,ague,4
1715,Ague,8,1715,ague,8
1716,Ague,2,1716,ague,2
1717,Ague,4,1717,ague,4
1718,Ague,10,1718,ague,10
1719,Ague,15,1719,ague,15
1720,Ague,15,1720,ague,15
1721,Ague,18,1721,ague,18
1722,Ague,9,1722,ague,9
1723,Ague,5,1723,ague,5
1724,Ague,4,1724,ague,4
1725,Ague,3,1725,ague,3
1726,Ague,6,1726,ague,6
1727,Ague,11,1727,ague,11
1728,Ague,44,1728,ague,44
1729,Ague,27,1729,ague,27
1730,Ague,16,1730,ague,16
1731,Ague,11,1731,ague,11
1732,Ague,10,1732,ague,10
1733,Ague,3,1733,ague,3
1734,Ague,6,1734,ague,6
1735,Ague,6,1735,ague,6
1736,Ague,1,1736,ague,1
1737,Ague,3,1737,ague,3
1738,Ague,1,1738,ague,1
1739,Ague,3,1739,ague,3
1740,Ague,6,1740,ague,6
1741,Ague,3,1741,ague,3
1742,Ague,8,1742,ague,8
1743,Ague,5,1743,ague,5
1744,Ague,6,1744,ague,6
1745,Ague,6,1745,ague,6
1746,Ague,15,1746,ague,15
1747,Ague,8,1747,ague,8
1748,Ague,9,1748,ague,9
1749,Ague,15,1749,ague,15
1750,Ague,11,1750,ague,11
1751,Ague,7,1751,ague,7
1687,Ague & Calenture & Fever,2847,1687,"ague, calenture and fever",2847
1635,Ague & Fever,1622,1635,ague and feaver,1622
1636,Ague & Fever,2316,1636,ague and feaver,2316
1641,Ague & Fever,1434,1641,ague and feaver,1434
1649,Ague & Fever,751,1649,ague and feaver,751
1650,Ague & Fever,970,1650,ague and feaver,970
1651,Ague & Fever,1038,1651,ague and feaver,1038
1652,Ague & Fever,1212,1652,ague and feaver,1212
1653,Ague & Fever,1282,1653,ague and feaver,1282
1654,Ague & Fever,1371,1654,ague and feaver,1371
1655,Ague & Fever,689,1655,ague and feaver,689
1656,Ague & Fever,875,1656,ague and feaver,875
1657,Ague & Fever,997,1657,ague and feaver,997
1658,Ague & Fever,1800,1658,ague and feaver,1800
1659,Ague & Fever,2303,1659,ague and feaver,2303
1660,Ague & Fever,2148,1660,ague and feaver,2148
1661,Ague & Fever,3490,1661,ague and feaver,3490
1662,Ague & Fever,2601,1662,ague and fever,2601
1663,Ague & Fever,2107,1663,ague and feaver,2107
1664,Ague & Fever,2258,1664,ague and feaver,2258
1665,Ague & Fever,5257,1665,ague and feaver,5257
1666,Ague & Fever,741,1666,ague and feaver,741
1669,Ague & Fever,1499,1669,ague and fever,1499
1670,Ague & Fever,1729,1670,ague and fever,1729
1671,Ague & Fever,1343,1671,ague and fever,1343
1672,Ague & Fever,1615,1672,ague and fever,1615
1673,Ague & Fever,1804,1673,ague and fever,1804
1674,Ague & Fever,2164,1674,ague and fever,2164
1675,Ague & Fever,2154,1675,ague and feaver,2154
1676,Ague & Fever,2112,1676,ague and feaver,2112
1677,Ague & Fever,1749,1677,ague and feaver,1749
1678,Ague & Fever,2376,1678,ague and feaver,2376
1679,Ague & Fever,2763,1679,ague and feaver,2763
1680,Ague & Fever,3324,1680,ague and fever,3324
1681,Ague & Fever,3174,1681,ague and feaver,3174
1682,Ague & Fever,2696,1682,ague and feaver,2696
1683,Ague & Fever,2250,1683,ague and feaver,2250
1684,Ague & Fever,2836,1684,ague and feaver,2836
1685,Ague & Fever,3832,1685,ague and feaver,3832
1686,Ague & Fever,4185,1686,ague and fever,4185
1688,Ague & Fever,3196,1688,ague and fever,3196
1689,Ague & Fever,3313,1689,ague and fever,3313
1690,Ague & Fever,3350,1690,ague and fever,3350
1691,Ague & Fever,3490,1691,ague and fever,3490
1692,Ague & Fever,3205,1692,ague and fever,3205
1693,Ague & Fever,3211,1693,ague and fever,3211
1694,Ague & Fever,5036,1694,ague and fever,5036
1695,Ague & Fever,3019,1695,ague and fever,3019
1696,Ague & Fever,2775,1696,ague and fever,2775
1697,Ague & Fever,3111,1697,ague and fever,3111
1698,Ague & Fever,3343,1698,ague and fever,3343
1699,Ague & Fever,3505,1699,ague and fever,3505
1700,Ague & Fever,3676,1700,ague and fever,3676
1701,Ague & Fever,2908,1701,ague and fever,2908
1641,Apoplexy,11,1641,appoplexie,11
1667,Apoplexy,11,1667,apoplexie,11
1668,Apoplexy,20,1668,apoplexie,20
1702,Apoplexy,74,1702,apoplexy,74
1703,Apoplexy,71,1703,apoplexy,71
1704,Apoplexy,53,1704,apoplexy,53
1705,Apoplexy,66,1705,apoplexy,66
1706,Apoplexy,64,1706,apoplexy,64
1707,Apoplexy,71,1707,apoplexy,71
1708,Apoplexy,76,1708,apoplexy,76
1709,Apoplexy,64,1709,apoplexy,64
1710,Apoplexy,76,1710,apoplexy,76
1711,Apoplexy,78,1711,apoplexy,78
1712,Apoplexy,76,1712,apoplexy,76
1713,Apoplexy,85,1713,apoplexy,85
1714,Apoplexy,82,1714,apoplexy,82
1715,Apoplexy,73,1715,apoplexy,73
1716,Apoplexy,65,1716,apoplexy,65
1717,Apoplexy,88,1717,apoplexy,88
1718,Apoplexy,92,1718,apoplexy,92
1719,Apoplexy,92,1719,apoplexy,92
1720,Apoplexy,82,1720,apoplexy,82
