ageID|weekID|agegroup|ageyearmin|ageyearmax|agen
473|1729/32|50-60|50|59|21
474|1729/32|60-70|60|69|29
475|1729/32|70-80|70|79|18
476|1729/32|80-90|80|89|10
477|1729/32|90 upwards|90|120|3
481|1729/33|under 2|0|1|134
482|1729/33|2-5|2|4|23
483|1729/33|5-10|5|9|16
484|1729/33|10-20|10|19|18
485|1729/33|20-30|20|29|37
486|1729/33|30-40|30|39|47
487|1729/33|40-50|40|49|47
488|1729/33|50-60|50|59|32
489|1729/33|60-70|60|69|34
490|1729/33|70-80|70|79|26
491|1729/33|80-90|80|89|8
492|1729/33|90 upwards|90|120|1
496|1729/34|under 2|0|1|176
497|1729/34|2-5|2|4|31
498|1729/34|5-10|5|9|14
499|1729/34|10-20|10|19|17
500|1729/34|20-30|20|29|40
501|1729/34|30-40|30|39|39
502|1729/34|40-50|40|49|66
503|1729/34|50-60|50|59|37
504|1729/34|60-70|60|69|32
505|1729/34|70-80|70|79|19
506|1729/34|80-90|80|89|15
507|1729/34|90 upwards|90|120|2
511|1729/35|under 2|0|1|156
512|1729/35|2-5|2|4|41
513|1729/35|5-10|5|9|17
514|1729/35|10-20|10|19|26
515|1729/35|20-30|20|29|40
516|1729/35|30-40|30|39|47
517|1729/35|40-50|40|49|42
518|1729/35|50-60|50|59|41
519|1729/35|60-70|60|69|33
520|1729/35|70-80|70|79|19
521|1729/35|80-90|80|89|10
522|1729/35|90 upwards|90|120|0
526|1729/36|under 2|0|1|185
527|1729/36|2-5|2|4|49
528|1729/36|5-10|5|9|11
529|1729/36|10-20|10|19|9
530|1729/36|20-30|20|29|48
531|1729/36|30-40|30|39|52
532|1729/36|40-50|40|49|64
533|1729/36|50-60|50|59|44
534|1729/36|60-70|60|69|25
535|1729/36|70-80|70|79|22
536|1729/36|80-90|80|89|11
537|1729/36|90 upwards|90|120|1
541|1729/37|under 2|0|1|176
542|1729/37|2-5|2|4|38
543|1729/37|5-10|5|9|20
544|1729/37|10-20|10|19|11
545|1729/37|20-30|20|29|48
546|1729/37|30-40|30|39|45
547|1729/37|40-50|40|49|76
548|1729/37|50-60|50|59|45
549|1729/37|60-70|60|69|34
550|1729/37|70-80|70|79|18
551|1729/37|80-90|80|89|13
552|1729/37|90 upwards|90|120|1
556|1729/38|under 2|0|1|190
557|1729/38|2-5|2|4|41
558|1729/38|5-10|5|9|32
559|1729/38|10-20|10|19|26
560|1729/38|20-30|20|29|45
561|1729/38|30-40|30|39|51
562|1729/38|40-50|40|49|65
563|1729/38|50-60|50|59|52
564|1729/38|60-70|60|69|34
565|1729/38|70-80|70|79|19
566|1729/38|80-90|80|89|4
567|1729/38|90 upwards|90|120|3
571|1729/39|under 2|0|1|187
572|1729/39|2-5|2|4|28
573|1729/39|5-10|5|9|17
574|1729/39|10-20|10|19|21
575|1729/39|20-30|20|29|40
576|1729/39|30-40|30|39|51
577|1729/39|40-50|40|49|48
578|1729/39|50-60|50|59|35
579|1729/39|60-70|60|69|30
580|1729/39|70-80|70|79|22
581|1729/39|80-90|80|89|9
582|1729/39|90 upwards|90|120|1
586|1729/40|under 2|0|1|219
587|1729/40|2-5|2|4|41
588|1729/40|5-10|5|9|16
