breadID|weekID|breadtype|lb|oz|dr
555|1654/31|3 halfpenny white|0|16.00|0
556|1654/32|wheaten|0|16.00|0
557|1654/32|3 halfpenny white|0|16.00|0
558|1654/33|wheaten|0|16.00|0
559|1654/33|3 halfpenny white|0|16.00|0
560|1654/34|wheaten|0|16.00|0
561|1654/34|3 halfpenny white|0|16.00|0
562|1654/35|wheaten|0|16.00|0
563|1654/35|3 halfpenny white|0|16.00|0
564|1654/36|wheaten|0|16.00|0
565|1654/36|3 halfpenny white|0|16.00|0
566|1654/37|wheaten|0|16.00|0
567|1654/37|3 halfpenny white|0|16.00|0
568|1654/38|wheaten|0|16.00|0
569|1654/38|3 halfpenny white|0|16.00|0
570|1654/39|wheaten|0|16.00|0
571|1654/39|3 halfpenny white|0|16.00|0
572|1654/41|wheaten|0|16.00|0
573|1654/41|3 halfpenny white|0|16.00|0
574|1654/42|wheaten|0|16.00|0
575|1654/42|3 halfpenny white|0|16.00|0
576|1654/43|wheaten|0|17.00|0
577|1654/43|3 halfpenny white|0|17.00|0
578|1654/44|wheaten|0|17.00|0
579|1654/44|3 halfpenny white|0|17.00|0
580|1654/45|wheaten|0|17.00|0
581|1654/45|3 halfpenny white|0|17.00|0
582|1654/46|wheaten|0|17.00|0
583|1654/46|3 halfpenny white|0|17.00|0
584|1654/47|wheaten|0|16.00|0
585|1654/47|3 halfpenny white|0|16.00|0
586|1654/48|wheaten|0|16.00|0
587|1654/48|3 halfpenny white|0|16.00|0
588|1654/49|wheaten|0|16.00|0
589|1654/49|3 halfpenny white|0|16.00|0
590|1654/50|wheaten|0|16.00|0
591|1654/50|3 halfpenny white|0|16.00|0
592|1654/51|wheaten|0|16.00|0
593|1654/51|3 halfpenny white|0|16.00|0
594|1654/52|wheaten|0|16.00|0
595|1654/52|3 halfpenny white|0|16.00|0
596|1655/01|wheaten|0|16.00|0
597|1655/01|3 halfpenny white|0|16.00|0
598|1655/02|wheaten|0|16.00|0
599|1655/02|3 halfpenny white|0|16.00|0
600|1655/03|wheaten|0|16.00|0
601|1655/03|3 halfpenny white|0|16.00|0
602|1655/04|wheaten|0|16.00|0
603|1655/04|3 halfpenny white|0|16.00|0
604|1655/06|wheaten|0|16.00|0
605|1655/06|3 halfpenny white|0|16.00|0
606|1655/07|wheaten|0|16.00|0
607|1655/07|3 halfpenny white|0|16.00|0
608|1655/08|wheaten|0|16.00|0
609|1655/08|3 halfpenny white|0|16.00|0
610|1655/09|wheaten|0|16.00|0
611|1655/09|3 halfpenny white|0|16.00|0
612|1655/11|wheaten|0|16.00|0
613|1655/11|3 halfpenny white|0|16.00|0
614|1655/12|wheaten|0|16.00|0
615|1655/12|3 halfpenny white|0|16.00|0
616|1655/13|wheaten|0|16.00|0
617|1655/13|3 halfpenny white|0|16.00|0
618|1655/14|wheaten|0|16.00|0
619|1655/14|3 halfpenny white|0|16.00|0
620|1655/15|wheaten|0|16.00|0
621|1655/15|3 halfpenny white|0|16.00|0
622|1655/21|wheaten|0|15.00|0
623|1655/21|3 halfpenny white|0|15.00|0
624|1655/22|wheaten|0|15.00|0
625|1655/22|3 halfpenny white|0|15.00|0
626|1655/23|wheaten|0|15.00|0
627|1655/23|3 halfpenny white|0|15.00|0
628|1655/24|wheaten|0|15.00|0
629|1655/24|3 halfpenny white|0|15.00|0
630|1655/25|wheaten|0|15.00|0
631|1655/25|3 halfpenny white|0|15.00|0
632|1655/26|wheaten|0|15.00|0
633|1655/26|3 halfpenny white|0|15.00|0
634|1655/28|wheaten|0|15.00|0
635|1655/28|3 halfpenny white|0|15.00|0
636|1655/29|wheaten|0|15.00|0
637|1655/29|3 halfpenny white|0|15.00|0
638|1655/30|wheaten|0|15.00|0
639|1655/30|3 halfpenny white|0|15.00|0
640|1655/31|wheaten|0|16.00|0
641|1655/31|3 halfpenny white|0|16.00|0
642|1655/32|wheaten|0|16.00|0
643|1655/32|3 halfpenny white|0|16.00|0
644|1655/33|wheaten|0|16.00|0
645|1655/33|3 halfpenny white|0|16.00|0
646|1655/34|wheaten|0|16.00|0
647|1655/34|3 halfpenny white|0|16.00|0
648|1655/35|wheaten|0|16.00|0
649|1655/35|3 halfpenny white|0|16.00|0
650|1655/36|wheaten|0|16.00|0
651|1655/36|3 halfpenny white|0|16.00|0
652|1655/38|wheaten|0|15.00|0
653|1655/38|3 halfpenny white|0|15.00|0
654|1655/39|wheaten|0|13.00|0
655|1655/39|3 halfpenny white|0|13.00|0
656|1655/40|wheaten|0|12.00|0
657|1655/40|3 halfpenny white|0|12.00|0
658|1655/41|wheaten|0|12.00|0
659|1655/41|3 halfpenny white|0|12.00|0
660|1655/42|wheaten|0|12.00|0
661|1655/42|3 halfpenny white|0|12.00|0
662|1655/43|wheaten|0|12.00|0
663|1655/43|3 halfpenny white|0|12.00|0
664|1655/44|wheaten|0|12.00|0
665|1655/44|3 halfpenny white|0|12.00|0
666|1655/45|wheaten|0|12.00|0
667|1655/45|3 halfpenny white|0|12.00|0
668|1655/46|wheaten|0|12.00|0
669|1655/46|3 halfpenny white|0|12.00|0
670|1655/47|wheaten|0|12.00|0
671|1655/47|3 halfpenny white|0|12.00|0
672|1655/48|wheaten|0|12.00|0
673|1655/48|3 halfpenny white|0|12.00|0
674|1655/49|wheaten|0|12.00|0
675|1655/49|3 halfpenny white|0|12.00|0
676|1655/50|wheaten|0|12.00|0
677|1655/50|3 halfpenny white|0|12.00|0
