weekID|yeartext|year|week|begindate|countsmissing|codmissing|breadmissing|agemissing|countsproblem|codproblem|breadproblem|ageproblem
1647/18|1646-47|1647|18|13-apr-1647|0|0|0|1|part missing||part missing|not yet stated
1647/19|1646-47|1647|19|20-apr-1647|0|0|0|1|part missing||part missing|not yet stated
1647/20|1646-47|1647|20|27-apr-1647|0|0|0|1|part missing||part missing|not yet stated
1647/21|1646-47|1647|21|04-may-1647|0|0|0|1|part missing||part missing|not yet stated
1647/22|1646-47|1647|22|11-may-1647|0|0|0|1|part missing||part missing|not yet stated
1647/23|1646-47|1647|23|18-may-1647|0|0|0|1|part missing||part missing|not yet stated
1647/24|1646-47|1647|24|25-may-1647|0|0|0|1|part missing||part missing|not yet stated
1647/25|1646-47|1647|25|01-jun-1647|0|0|0|1|part missing||part missing|not yet stated
1647/26|1646-47|1647|26|08-jun-1647|0|0|0|1|part missing||part missing|not yet stated
1647/27|1646-47|1647|27|15-jul-1647|0|0|0|1|part missing||part missing|not yet stated
1647/28|1646-47|1647|28|22-jun-1647|0|0|0|1|part missing|||not yet stated
1647/29|1646-47|1647|29|29-jun-1647|0|0|0|1|part missing|||not yet stated
1647/30|1646-47|1647|30|06-jul-1647|0|0|0|1||||not yet stated
1647/31|1646-47|1647|31|13-jul-1647|0|0|0|1|part missing|||not yet stated
1647/32|1646-47|1647|32|20-jul-1647|0|0|0|1||||not yet stated
1647/33|1646-47|1647|33|27-jul-1647|0|0|0|1||||not yet stated
1647/34|1646-47|1647|34|03-aug-1647|0|0|0|1||||not yet stated
1647/35|1646-47|1647|35|10-aug-1647|0|0|0|1||||not yet stated
1647/36|1646-47|1647|36|17-aug-1647|0|0|0|1||||not yet stated
1647/37|1646-47|1647|37|24-aug-1647|0|0|0|1||||not yet stated
1647/38|1646-47|1647|38||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1647/39|1646-47|1647|39|07-sep-1647|0|0|0|1||||not yet stated
1647/40|1646-47|1647|40|14-sep-1647|0|0|0|1||||not yet stated
1647/41|1646-47|1647|41||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1647/42|1646-47|1647|42|28-sep-1647|0|0|0|1||||not yet stated
1647/43|1646-47|1647|43|05-oct-1642|0|0|0|1||||not yet stated
1647/44|1646-47|1647|44|12-oct-1647|0|0|0|1||||not yet stated
1647/45|1646-47|1647|45||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1647/46|1646-47|1647|46|26-oct-1647|0|0|0|1||||not yet stated
1647/47|1646-47|1647|47|02-nov-1647|0|0|0|1||||not yet stated
1647/48|1646-47|1647|48|09-nov-1647|0|0|0|1||||not yet stated
1647/49|1646-47|1647|49|16-nov-1647|0|0|0|1||||not yet stated
1647/50|1646-47|1647|50|23-nov-1647|0|0|0|1||||not yet stated
1647/51|1646-47|1647|51||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1647/52|1646-47|1647|52|07-dec-1647|0|0|0|1||||not yet stated
1648/01|1647-48|1648|1|14-dec-1647|0|0|0|1||||not yet stated
1648/02|1647-48|1648|2|21-dec-1647|0|0|0|1||||not yet stated
