Week,Unique Identifier,Start Day,Start Month,End Day,End Month,parish_name,count
10,1669-10-recto,22,February,1,March,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
11,1669-11-recto-form-fill,1,March,8,March,Plague in the 97 Parishes within the Walls,0
11,1669-11-recto-form-fill,1,March,8,March,Plague in the 16 Parishes without the Walls,0
11,1669-11-recto-form-fill,1,March,8,March,Plague in the 13 out-Parishes in Middlesex and Surrey,0
11,1669-11-recto-form-fill,1,March,8,March,Plague in the 5 Parishes in the City and Liberties of Westminster,0
12,1669-12-recto-form-fill,8,March,15,March,Plague in the 97 Parishes within the Walls,0
12,1669-12-recto-form-fill,8,March,15,March,Plague in the 16 Parishes without the Walls,0
12,1669-12-recto-form-fill,8,March,15,March,Plague in the 13 out-Parishes in Middlesex and Surrey,0
12,1669-12-recto-form-fill,8,March,15,March,Plague in the 5 Parishes in the City and Liberties of Westminster,0
13,1669-13-recto-form-fill,15,March,22,March,Plague in the 97 Parishes within the Walls,0
13,1669-13-recto-form-fill,15,March,22,March,Plague in the 16 Parishes without the Walls,0
13,1669-13-recto-form-fill,15,March,22,March,Plague in the 13 out-Parishes in Middlesex and Surrey,0
13,1669-13-recto-form-fill,15,March,22,March,Plague in the 5 Parishes in the City and Liberties of Westminster,0
14,1670-14-recto,22,March,29,March,Plague in the 97 Parishes within the Walls,0
14,1670-14-recto,22,March,29,March,Plague in the 16 Parishes without the Walls,0
14,1670-14-recto,22,March,29,March,Plague in the 13 out-Parishes in Middlesex and Surrey,0
14,1670-14-recto,22,March,29,March,Plague in the 5 Parishes in the City and Liberties of Westminster,0
15,1670-15-recto,29,March,5,April,Plague in the 97 Parishes within the Walls,0
15,1670-15-recto,29,March,5,April,Plague in the 16 Parishes without the Walls,0
15,1670-15-recto,29,March,5,April,Plague in the 13 out-Parishes in Middlesex and Surrey,0
15,1670-15-recto,29,March,5,April,Plague in the 5 Parishes in the City and Liberties of Westminster,0
