Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Unique Identifier,is_missing,is_illegible,Start Day,is_missing,is_illegible,Start Month,is_missing,is_illegible,Start Year,is_missing,is_illegible,End Day,is_missing,is_illegible,End Month,is_missing,is_illegible,End Year,is_missing,is_illegible,St Alban Woodstreet - Buried,is_missing,is_illegible,Alhallows Barking - Buried,is_missing,is_illegible,Alhallows Breadstreet - Buried,is_missing,is_illegible,Alhallows Great- Buried,is_missing,is_illegible,Alhallows Honylane - Buried,is_missing,is_illegible,Alhallows Lesse - Buried,is_missing,is_illegible,Alhallows Lumbardstreet - Buried,is_missing,is_illegible,Alhallows Stayning - Buried,is_missing,is_illegible,Alhallows the Wall - Buried,is_missing,is_illegible,St Alphage - Buried,is_missing,is_illegible,St Andrew Hubbard - Buried,is_missing,is_illegible,St Andrew Undershaft - Buried,is_missing,is_illegible,St Andrew Wardrobe - Buried,is_missing,is_illegible,St Ann Aldersgate - Buried,is_missing,is_illegible,St Ann Blackfryers - Buried,is_missing,is_illegible,St Antholins Parish - Buried,is_missing,is_illegible,St Austins Parish - Buried,is_missing,is_illegible,St Bartholomew Exchange - Buried,is_missing,is_illegible,St Bennet Fynck - Buried,is_missing,is_illegible,St Bennet Gracechurch - Buried,is_missing,is_illegible,St Bennet Paulswharf - Buried,is_missing,is_illegible,St Bennet Sherehog - Buried,is_missing,is_illegible,St Botolph Billingsgate - Buried,is_missing,is_illegible,Christ Church - Buried,is_missing,is_illegible,St Christophers - Buried,is_missing,is_illegible,St Clement Eastcheap - Buried,is_missing,is_illegible,St Dionis Backchurch - Buried,is_missing,is_illegible,St Dunstan East - Buried,is_missing,is_illegible,St Edmund Lumbardstr. - Buried,is_missing,is_illegible,St Ethelborough - Buried,is_missing,is_illegible,St Faith - Buried,is_missing,is_illegible,St Gabriel Fenchurch - Buried,is_missing,is_illegible,St George Botolphlane - Buried,is_missing,is_illegible,St Gregory by St Pauls - Buried,is_missing,is_illegible,St Hellen - Buried,is_missing,is_illegible,St James Dukes place - Buried,is_missing,is_illegible,St James Garlickhithe - Buried,is_missing,is_illegible,St John Baptist - Buried,is_missing,is_illegible,St John Evangelist - Buried,is_missing,is_illegible,St John Zachary - Buried,is_missing,is_illegible,St Katharine Coleman - Buried,is_missing,is_illegible,St Katharine Creechurch - Buried,is_missing,is_illegible,St Lawrence Jewry - Buried,is_missing,is_illegible,St Lawrence Pountney - Buried,is_missing,is_illegible,St Leonard Eastcheap - Buried,is_missing,is_illegible,St Leonard Fosterlane - Buried,is_missing,is_illegible,St Magnus Parish - Buried,is_missing,is_illegible,St Margaret Lothbury - Buried,is_missing,is_illegible,St Margaret Moses - Buried,is_missing,is_illegible,St Margaret Newfishstreet - Buried,is_missing,is_illegible,St Margaret Pattons - Buried,is_missing,is_illegible,St Martin Iremongerlane - Buried,is_missing,is_illegible,St Martin Ludgate - Buried,is_missing,is_illegible,St Martin Orgars - Buried,is_missing,is_illegible,St Martin Outwich - Buried,is_missing,is_illegible,St Martin Vintrey - Buried,is_missing,is_illegible,St Mary Abchurch - Buried,is_missing,is_illegible,St Mary Aldermanbury - Buried,is_missing,is_illegible,St Mary Aldermary - Buried,is_missing,is_illegible,St Mary le Bow - Buried,is_missing,is_illegible,St Mary Bothaw - Buried,is_missing,is_illegible,St Mary Colechurch - Buried,is_missing,is_illegible,St Mary Hill - Buried,is_missing,is_illegible,St Maudlin Milkstreet,is_missing,is_illegible,St Maudlin Oldfishstreet - Buried,is_missing,is_illegible,St Mary Mounthaw - Buried,is_missing,is_illegible,St Mary Sommerset - Buried,is_missing,is_illegible,St Mary Stayning - Buried,is_missing,is_illegible,St Mary Woolchurch - Buried,is_missing,is_illegible,St Mary Woolnoth - Buried,is_missing,is_illegible,St Matthew Fridaystreet - Buried,is_missing,is_illegible,St Michael Bassishaw - Buried,is_missing,is_illegible,St Michael Cornhil - Buried,is_missing,is_illegible,St Michael Crookedlane - Buried,is_missing,is_illegible,St Michael Queenhithe - Buried,is_missing,is_illegible,St Michael Quern - Buried,is_missing,is_illegible,St Michael Royal - Buried,is_missing,is_illegible,St Michael Woodstreet - Buried,is_missing,is_illegible,St Mildred Breadstreet - Buried,is_missing,is_illegible,St Mildred Poultrey - Buried,is_missing,is_illegible,St Nicholas Acons - Buried,is_missing,is_illegible,St Nicholas Coleabby - Buried,is_missing,is_illegible,St Nicholas Olaves - Buried,is_missing,is_illegible,St Olave Hartstreet - Buried,is_missing,is_illegible,St Olave Jewry - Buried,is_missing,is_illegible,St Olave Silverstreet - Buried,is_missing,is_illegible,St Pancras Pancras lane - Buried,is_missing,is_illegible,St Peter Cheap - Buried,is_missing,is_illegible,St Peter Cornhil - Buried,is_missing,is_illegible,St Peter Paulswharf - Buried,is_missing,is_illegible,St Peter Poor - Buried,is_missing,is_illegible,St Steven Colemanstreet - Buried,is_missing,is_illegible,St Steven Walbrook - Buried,is_missing,is_illegible,St Swithin - Buried,is_missing,is_illegible,St Thomas Apostles - Buried,is_missing,is_illegible,Trinity Parish - Buried,is_missing,is_illegible,St Foster - Buried,is_missing,is_illegible,Christened in the 97 Parishes within the Walls,is_missing,is_illegible,Buried in the 97 Parishes within the Walls,is_missing,is_illegible,Plague in the 97 Parishes within the Walls,is_missing,is_illegible,St Andrew Holborn - Buried,is_missing,is_illegible,St Bartholomew Great - Buried,is_missing,is_illegible,St Bartholomew Less - Buried,is_missing,is_illegible,St Botolph Aldersgate - Buried,is_missing,is_illegible,St Botolph Aldgate - Buried,is_missing,is_illegible,St Botolph Bishopsgate - Buried,is_missing,is_illegible,Bridewel Precinct - Buried,is_missing,is_illegible,St Bridget - Buried,is_missing,is_illegible,St Dunstan West - Buried,is_missing,is_illegible,St George Southwark - Buried,is_missing,is_illegible,St Giles Cripplegate - Buried,is_missing,is_illegible,St John Southwark - Buried,is_missing,is_illegible,St Olave Southwark - Buried,is_missing,is_illegible,Saviours Southwark - Buried,is_missing,is_illegible,S Sepulchres Parish - Buried,is_missing,is_illegible,St Thomas Southwark - Buried,is_missing,is_illegible,Trinity Minories - Buried,is_missing,is_illegible,Pesthouse Without the Walls - Buried,is_missing,is_illegible,Christened in the Parishes without the Walls,is_missing,is_illegible,Buried in the Parishes without the Walls,is_missing,is_illegible,Plague in the Parishes without the Walls,is_missing,is_illegible,St Ann in Middlesex - Buried,is_missing,is_illegible,Christ Church in Surry - Buried,is_missing,is_illegible,Christ Church in Middlesex - Buried,is_missing,is_illegible,Stepney Parish - Buried,is_missing,is_illegible,St George in Bloomsbury - Buried,is_missing,is_illegible,St George in Middlesex - Buried,is_missing,is_illegible,St George by Queen's Square - Buried,is_missing,is_illegible,St Giles in the Field - Buried,is_missing,is_illegible,St James Clerkenwel - Buried,is_missing,is_illegible,Hackney Parish - Buried,is_missing,is_illegible,St John at Wapping - Buried,is_missing,is_illegible,St Katharine Tower - Buried,is_missing,is_illegible,St Leonard Shoreditch - Buried,is_missing,is_illegible,St Luke in Middlesex - Buried,is_missing,is_illegible,St Mary Islington - Buried,is_missing,is_illegible,Lambeth Parish - Buried,is_missing,is_illegible,St Magdalen Bermondsey - Buried,is_missing,is_illegible,St Mary Newington - Buried,is_missing,is_illegible,Rothorith Parish - Buried,is_missing,is_illegible,St Mary Whitechappel - Buried,is_missing,is_illegible,St Matthew at Bethnal Green - Buried,is_missing,is_illegible,St Pauls Shadwel - Buried,is_missing,is_illegible,Christened in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Buried in the 13 out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Plague in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,St Ann in Westminster - Buried,is_missing,is_illegible,St Clement Danes - Buried,is_missing,is_illegible,St George by Hanover Square - Buried,is_missing,is_illegible,St James in Westminster - Buried,is_missing,is_illegible,St John the Evangelist - Buried,is_missing,is_illegible,St Margaret Westminster - Buried,is_missing,is_illegible,St Martin in the fields - Buried,is_missing,is_illegible,St Mary le Strand - Buried,is_missing,is_illegible,St Mary Savoy - Buried,is_missing,is_illegible,St Paul Covent Garden - Buried,is_missing,is_illegible,Christened in the Parishes in the City and Liberties of Westminster,is_missing,is_illegible,Buried in the Parishes in the City and Liberties of Westminster,is_missing,is_illegible,Plague in the Parishes in the City and Liberties of Westminster,is_missing,is_illegible
9771,3003,8034,1,Laxton-1736-1737-GeneralBill,,,7,,,December,,,1736,,,13,,,December,,,1737,,,32,,,61,,,13,,,51,,,1,,,18,,,15,,,30,,,33,,,30,,,12,,,43,,,47,,,38,,,132,,,5,,,16,,,24,,,20,,,16,,,47,,,,,,13,,,146,,,12,,,13,,,33,,,66,,,17,,,20,,,32,,,11,,,8,,,73,,,19,,,21,,,19,,,17,,,5,,,15,,,61,,,48,,,24,,,14,,,18,,,19,,,33,,,38,,,3,,,,,,15,,,6,,,9,,,11,,,13,,,41,,,25,,,34,,,26,,,17,,,,,,,,,30,,,1,,,41,,,10,,,42,,,8,,,,,,23,,,7,,,34,,,20,,,34,,,30,,,10,,,17,,,9,,,11,,,23,,,,,,16,,,10,,,38,,,1,,,16,,,4,,,5,,,23,,,12,,,14,,,62,,,4,,,18,,,18,,,10,,,23,,,1430,,,2303,,,,1,,1089,,,49,,,32,,,270,,,984,,,606,,,31,,,280,,,187,,,459,,,567,,,404,,,493,,,739,,,743,,,209,,,24,,,,,,4670,,,7166,,,,1,,174,,,210,,,897,,,1215,,,547,,,774,,,276,,,1203,,,472,,,200,,,322,,,234,,,921,,,995,,,258,,,469,,,571,,,434,,,290,,,1311,,,,1,,601,,,6735,,,12374,,,,1,,535,,,508,,,530,,,1225,,,249,,,951,,,1467,,,122,,,116,,,277,,,3925,,,5980,,,,1,
9772,3004,8035,1,Laxton-1737-1738-GeneralBill,,,13,,,December,,,1737,,,12,,,December,,,1738,,,26,,,75,,,11,,,54,,,3,,,25,,,11,,,28,,,20,,,18,,,11,,,34,,,61,,,33,,,123,,,7,,,9,,,17,,,13,,,6,,,41,,,,,,7,,,95,,,12,,,10,,,24,,,70,,,25,,,30,,,27,,,14,,,14,,,91,,,14,,,24,,,26,,,20,,,3,,,26,,,29,,,41,,,38,,,17,,,11,,,17,,,37,,,38,,,,,,,,,13,,,11,,,13,,,9,,,7,,,33,,,21,,,20,,,20,,,20,,,2,,,,,,37,,,4,,,31,,,8,,,29,,,10,,,1,,,14,,,4,,,32,,,18,,,28,,,31,,,6,,,9,,,10,,,5,,,14,,,4,,,10,,1,7,,,53,,,2,,,21,,,9,,,5,,,26,,,17,,,11,,,37,,,16,,,12,,,14,,,12,,,27,,,1283,,,2129,,,,1,,1030,,,62,,,26,,,224,,,730,,,538,,,32,,,244,,,155,,,374,,,549,,,350,,,456,,,706,,,708,,,188,,,27,,,,,,4325,,,6399,,,,1,,158,,,184,,,691,,,1119,,,525,,,736,,,241,,,1067,,,548,,,223,,,296,,,199,,,796,,,994,,,289,,,441,,,437,,,331,,,286,,,1187,,,,1,,443,,,6412,,,11191,,1,,1,,575,,,428,,,952,,,1141,,,221,,,947,,,1315,,,113,,1,121,,,293,,,4040,,,6106,,1,,1,
9773,3005,8036,1,Laxton-1738-1739-GeneralBill,,,12,,,December,,,1738,,,11,,,December,,,1739,,,29,,,55,,,11,,,50,,,2,,,24,,,17,,,16,,,61,,,17,,,9,,,41,,,66,,,49,,,127,,,8,,,16,,,22,,,7,,,9,,,26,,,1,,,4,,,101,,,13,,,10,,,28,,,58,,,17,,,26,,,29,,,6,,,8,,,96,,,28,,,15,,,30,,,21,,,3,,,8,,,35,,,50,,,33,,,12,,,15,,,10,,,28,,,34,,,3,,,,,,10,,,14,,,13,,,10,,,8,,,35,,,14,,,31,,1,20,,,12,,,3,,,1,,,36,,,1,,,35,,,9,,,39,,,20,,,,,,12,,,6,,,23,,,18,,,22,,,24,,,8,,,11,,1,3,,,6,,,13,,,1,,,21,,,8,,,40,,,1,,,19,,,2,,,6,,,21,,,17,,,5,,,60,,,7,,,12,,,11,,,19,,,24,,,1331,,,2115,,,,1,,1107,,,68,,,23,,,255,,,782,,,614,,,28,,,240,,,168,,,367,,,724,,,375,,,443,,,736,,,681,,,161,,1,26,,,,,,4450,,,6798,,,,1,,150,,,197,,,763,,,995,,,520,,,618,,,259,,,985,,,510,,,184,,,260,,,196,,,850,,,959,,1,218,,,539,,,448,,,364,,,240,,,1114,,,,1,,404,,,6585,,,10773,,,,1,,520,,,375,,,730,,,1181,,,171,,,1022,,,1266,,,101,,,83,,,297,,,3815,,,5746,,,,1,
9774,3006,8037,1,Laxton-1739-1740-GeneralBill,,,11,,,December,,,1739,,,16,,,December,,,1740,,,31,,,71,,,12,,,51,,,3,,,15,,,19,,,19,,,53,,,30,,,24,,,44,,,97,,,77,,,195,,,10,,,15,,,19,,,16,,,14,,,42,,1,,,,4,,,135,,,13,,,13,,,36,,,56,,,10,,,24,,,39,,,11,,,14,,,96,,,34,,,23,,,29,,,24,,,3,,,,,,48,,,51,,,22,,,9,,,10,,,24,,,20,,,24,,,5,,,,,,15,,,10,,,9,,,10,,,11,,,33,,,11,,,42,,,22,,,25,,,,,,,,,44,,,1,,,43,,,12,,,40,,,25,,,,,,11,,,11,,,27,,,17,,,29,,,50,,,7,,,13,,,3,,,11,,,16,,,2,,,15,,,10,,,73,,,4,,,27,,,4,,,13,,,39,,,20,,,16,,,62,,,16,,,17,,,22,,,24,,,34,,,1279,,,2580,,,,1,,1315,,,75,,,25,,,278,,,953,,,693,,,29,,,353,,1,218,,,342,,,943,,1,448,,,514,,,749,,,827,,,205,,,34,,,,,,3852,,,8001,,,,1,,203,,1,208,,1,940,,,1017,,1,606,,,785,,1,322,,,1274,,,613,,,223,,1,291,,,53,,,1058,,,1257,,,267,,,511,,,557,,,410,,,331,,,1272,,,,1,,566,,,6141,,,13250,,,,1,,629,,1,573,,1,636,,1,1462,,,265,,1,1268,,,1498,,,132,,,156,,,,,1,3955,,,6980,,,,1,
6417,2096,7705,1,Laxton-1740-1741-GeneralBill,,,16,,,December,,,1740,,,15,,,December,,,1741,,,31,,,79,,,5,,,70,,1,1,,,29,,,17,,,31,,,45,,,14,,,16,,,36,,,98,,,57,,,184,,,12,,,19,,,23,,,20,,,16,,,53,,,,,,4,,,176,,1,21,,1,12,,,31,,,56,,,14,,,35,,,34,,,12,,,14,,,94,,,39,,,29,,,41,,,21,,,4,,,34,,1,44,,,56,,,39,,,9,,,17,,,19,,,42,,,27,,,5,,,,,,12,,,15,,,15,,,22,,,2,,,49,,,21,,,44,,,24,,,32,,,1,,,,,,41,,,2,,,46,,,16,,,45,,,20,,,,,,7,,,8,,,31,,,28,,,34,,,43,,,9,,,13,,,9,,,11,,,13,,,2,,1,12,,,8,,,57,,,5,,,23,,,4,,,13,,,31,,,15,,,14,,,59,,,13,,,12,,,16,,1,20,,,30,,,1262,,,2738,,,,1,,1399,,,94,,,14,,,283,,,1000,,,755,,,40,,,307,,,170,,,466,,,947,,,460,,,665,,,866,,,864,,,216,,,45,,,,,,3851,,,8501,,,,1,,257,,,257,,,942,,,1296,,1,574,,,842,,,329,,,1186,,,665,,,247,,,355,,,243,,,1081,,,1369,,,274,,,606,,,582,,,469,,,398,,,1496,,,,1,,542,,,6080,,,14010,,,,1,,525,,,487,,,779,,,256,,,1342,,,1372,,,1506,,,133,,,185,,,335,,,3764,,,6920,,,,1,
6418,2097,7827,1,Laxton-1741-1742-GeneralBill,,,15,,,December,,,1741,,,14,,,December,,,1742,,,26,,,76,,,11,,,64,,,1,,,12,,,17,,,25,,,41,,,33,,,16,,,48,,,72,,,35,,,170,,,6,,,10,,,26,,,19,,,9,,1,58,,,,,,18,,,139,,,23,,,7,,,35,,,70,,,23,,,27,,,35,,,13,,,11,,,79,,,32,,,27,,,21,,,26,,,3,,,23,,,40,,,43,,,41,,,14,,,12,,,19,,,36,,,26,,,3,,,,,,12,,,6,,,15,,,18,,,4,,,32,,,14,,,28,,,30,,,14,,,6,,,,,,34,,,,,,34,,,6,,,32,,,26,,,,,,11,,,12,,,28,,,35,,,34,,,28,,,10,,1,11,,,2,,,10,,1,18,,1,7,,,10,,1,5,,,34,,,2,,,20,,,1,,,5,,,37,,,13,,,11,,1,67,,,14,,,13,,,11,,1,8,,,11,,1,1099,,,2418,,,,1,,1274,,,96,,,13,,,268,,,811,,,504,,,18,,,306,,,195,,,320,,,796,,,411,,,440,,,658,,,763,,,230,,,31,,,,,,3473,,1,7134,,,,1,,208,,,149,,,701,,,1049,,,576,,,704,,,295,,,1011,,1,611,,,201,,,292,,,222,,,873,,,1245,,,302,,,468,,,549,,,348,,,277,,,1208,,,,1,,425,,1,5489,,,11724,,,,1,,533,,,455,,1,966,,,1114,,,142,,,1065,,,1411,,,98,,,83,,,340,,,3645,,,6207,,,,1,
6419,2098,7911,1,Laxton-1742-1743-GeneralBill,,,14,,,December,,,1742,,,13,,,December,,,1743,,,33,,,64,,,11,,,49,,,,,,14,,,23,,,20,,,38,,,19,,,14,,,41,,,54,,,39,,,135,,,6,,,5,,,19,,,14,,,7,,,49,,,1,,,6,,,100,,1,10,,,8,,,30,,,57,,,14,,,24,,,23,,,19,,,7,,,54,,,28,,,30,,,29,,,20,,,1,,,20,,,49,,,52,,,43,,,16,,,11,,,13,,,31,,,25,,,4,,,,,,10,,,13,,,12,,,21,,,6,,,27,,,23,,,29,,,25,,,12,,,4,,,,,,31,,1,,,,23,,,8,,,27,,,16,,,,,,18,,,12,,,26,,,16,,,25,,,25,,,17,,,19,,,1,,,7,,,11,,1,8,,,12,,,5,,,37,,,1,,1,22,,,3,,,7,,,30,,,9,,,12,,,79,,,14,,,11,,,14,,,13,,,17,,,1135,,,2138,,,,1,,1156,,,91,,,13,,,238,,,740,,,437,,,8,,,227,,,181,,,301,,,690,,,317,,,407,,,614,,,577,,,180,,,33,,,,,,4163,,,6250,,,,1,,188,,,156,,,710,,,1027,,,597,,,585,,,328,,,944,,,543,,,222,,,269,,,212,,,800,,,1071,,,235,,,464,,,484,,,190,,1,223,,,1130,,1,,1,,439,,1,5962,,,10923,,,,1,,657,,,412,,1,805,,,1163,,,100,,1,981,,,1263,,,107,,1,90,,,311,,1,3790,,,5889,,,,1,
6420,2099,7828,1,Laxton-1743-1744-GeneralBill,,,13,,,December,,,1743,,,11,,,December,,,1744,,,15,,,70,,,10,,,58,,,1,,,13,,,17,,,13,,,34,,,22,,,12,,1,23,,,53,,,26,,,136,,,2,,,9,,,19,,,15,,,12,,,35,,,2,,,10,,,83,,,9,,,3,,,22,,,47,,,13,,1,20,,,23,,,4,,,13,,1,51,,,21,,,18,,,14,,,22,,,4,,,12,,,34,,,23,,,18,,,6,,,10,,,13,,,24,,,22,,,2,,1,,,,10,,,8,,,6,,,10,,,3,,,33,,,16,,,25,,,15,,,8,,,6,,,,,,34,,,,,,29,,,8,,,26,,,10,,,1,,,6,,,7,,,25,,,25,,,17,,,25,,,8,,,14,,,1,,,7,,,4,,,8,,,3,,,4,,,23,,,4,,,16,,,6,,,3,,,20,,,24,,,12,,,56,,,11,,,11,,,13,,,7,,,22,,,1044,,,1768,,,,1,,819,,,71,,,10,,,182,,,580,,,424,,,2,,,181,,,139,,,224,,,499,,,303,,,349,,,541,,,473,,,182,,,32,,,,,,3966,,,5011,,,,1,,164,,,157,,,554,,,796,,,376,,,557,,,292,,,691,,,423,,,153,,,247,,,181,,1,705,,1,907,,1,189,,,353,,,402,,,299,,,251,,,918,,,,1,,388,,,5779,,,9004,,,,1,,608,,,340,,,720,,,852,,,79,,,757,,1,1006,,1,64,,,117,,,280,,,3472,,,4823,,,,1,
6421,2100,7829,1,Laxton-1744-1745-GeneralBill,,,11,,,December,,,1744,,,10,,,December,,,1745,,,27,,,55,,,7,,,39,,,,,,15,,,24,,,15,,,46,,,13,,,13,,1,29,,,47,,,32,,,128,,,5,,,9,,,19,,,10,,,4,,,37,,,,,,5,,,93,,,6,,,7,,,26,,,49,,,12,,1,21,,,17,,,10,,,1,,,53,,,25,,,15,,,18,,,18,,,1,,,15,,,37,,,38,,,12,,,13,,,4,,,15,,,23,,,21,,,,,1,,,,9,,,10,,,11,,,15,,,10,,,29,,,15,,,24,,,23,,,10,,,6,,,,,,25,,,2,,,23,,,4,,,21,,,9,,,,,,9,,,2,,,24,,,23,,,13,,,28,,,8,,,8,,,3,,,3,,,10,,,2,,,8,,,3,,,25,,,5,,,13,,1,2,,,5,,,15,,,11,,,10,,,74,,,15,,,16,,,6,,,19,,,20,,,1104,,,1766,,1,,1,,840,,,53,,,10,,,170,,,660,,,403,,,,,,216,,,134,,,250,,,443,,,323,,,401,,,491,,,506,,,155,,,22,,,,,,3846,,,5077,,,,1,,216,,,143,,,661,,,793,,,384,,,509,,,260,,,752,,,386,,,160,,,237,,,178,,,770,,,1017,,,207,,,384,,,402,,,303,,,257,,,1005,,,,1,,344,,,5644,,,9368,,,,1,,640,,,298,,,665,,,972,,,96,,,838,,1,1106,,1,80,,,126,,,264,,,3484,,,5085,,,,1,
6422,2101,7830,1,Laxton-1745-1746-GeneralBill,,,11,,,December,,,1745,,,10,,,December,,,1746,,,23,,,85,,,12,,1,62,,,,,,14,,,24,,,20,,,59,,,30,,,6,,,41,,,64,,,42,,,171,,,5,,,7,,,14,,,14,,,11,,,26,,,,,,10,,,104,,,11,,1,8,,,41,,,51,,,13,,,33,,,25,,1,9,,,13,,,87,,,41,,,27,,,26,,,29,,,2,,,21,,,38,,,68,,,26,,,15,,,13,,,17,,,28,,,22,,,3,,,,,,15,,,9,,,25,,,19,,,9,,,43,,,6,,1,41,,,23,,,15,,,9,,,,,,29,,,,,,29,,,13,,,38,,,13,,,,,,10,,1,6,,,38,,,27,,,28,,,42,,,11,,,12,,,2,,,16,,,9,,,8,,,11,,1,7,,,38,,,12,,,25,,,3,,,6,,,24,,,14,,,14,,,59,,,19,,,23,,1,8,,,20,,,35,,,1058,,,378,,1,,1,,1168,,1,104,,,23,,,268,,1,827,,1,537,,,,,,259,,,209,,,347,,,622,,,370,,,430,,,698,,,648,,,112,,1,25,,,,,1,4005,,1,6747,,,,1,,204,,,228,,,733,,,803,,,500,,,824,,,411,,,1255,,1,622,,,210,,1,338,,,216,,,932,,,1313,,,270,,,529,,,468,,,676,,1,149,,1,1297,,,252,,1,530,,,5533,,,12566,,,,1,,898,,,459,,,818,,,1237,,,68,,,1046,,,1316,,1,79,,,191,,1,354,,,3971,,,6466,,,,1,
6423,2102,7869,1,Laxton-1746-1747-GeneralBill,,,10,,,December,,,1746,,,15,,,December,,,1747,,,26,,,80,,,7,,,47,,,,,,26,,,14,,,29,,,43,,,34,,,9,,,38,,,59,,,42,,,142,,,2,,,7,,,19,,,19,,,8,,,43,,,1,,,3,,,110,,,8,,,11,,,33,,,56,,,16,,,37,,,19,,,17,,,11,,,62,,,30,,,18,,,25,,,25,,,2,,,19,,,44,,,50,,,28,,,12,,,14,,,23,,,20,,,20,,,3,,,,,,9,,,9,,,15,,,15,,,8,,,42,,,21,,,17,,,18,,,15,,,5,,,,,,40,,,,,,25,,,10,,,22,,,12,,,,,,9,,,4,,,27,,,17,,,18,,,20,,,20,,,14,,,2,,,4,,,9,,,5,,,9,,,6,,,21,,,5,,,21,,,5,,,3,,,14,,,9,,,7,,,60,,,16,,,16,,,10,,,8,,,21,,,1092,,,2074,,,,1,,822,,,96,,,22,,,222,,,793,,,461,,,,,,231,,1,181,,,307,,,547,,,308,,,405,,,606,,,587,,,181,,,31,,,,1,,4214,,,5800,,,,1,,215,,,192,,,754,,,435,,,420,,,681,,,352,,,1072,,,529,,,223,,,395,,,188,,,1027,,,1120,,,275,,,479,,,460,,,317,,,276,,,1207,,,583,,,476,,,5621,,,11676,,,,1,,716,,,363,,,998,,,1136,,,90,,,979,,,1124,,,78,,,151,,,309,,,4015,,,5944,,,,1,
6424,2103,7870,1,Laxton-1747-1748-GeneralBill,,,15,,,December,,,1747,,,13,,,December,,,1748,,,34,,,71,,,7,,,31,,,,,,23,,,17,,,16,,,67,,,29,,,3,,,35,,,59,,,33,,,120,,1,11,,,2,,,17,,,20,,,10,,,35,,,,,,9,,,81,,,5,,,10,,,22,,,55,,,14,,,29,,,9,,,12,,,7,,,69,,,37,,,19,,,19,,,21,,,3,,,19,,,42,,,43,,,17,,,14,,,16,,,17,,,33,,,16,,,1,,,,,,10,,,13,,,24,,,13,,,7,,,19,,,13,,,22,,,21,,,8,,,6,,,,,,40,,,,,,20,,,7,,,23,,,13,,,2,,,14,,,6,,,27,,,19,,,17,,,21,,,2,,,11,,,3,,,2,,,6,,,9,,,7,,,2,,,47,,,5,,,27,,,1,,,7,,,22,,,12,,,7,,,49,,,14,,,17,,,15,,,6,,,41,,,1014,,,1962,,,,1,,776,,,82,,,20,,,222,,,793,,,438,,,,,,240,,,165,,,287,,,527,,,335,,,347,,,581,,,525,,,188,,,31,,,,1,,4032,,,5557,,,,1,,214,,,186,,,681,,,465,,,393,,,551,,1,334,,,1064,,,532,,,237,,,287,,,208,,1,854,,,1058,,,262,,,412,,,457,,,360,,,281,,,1173,,,449,,,365,,,5316,,,10823,,,,1,,539,,,371,,,1010,,,1028,,,66,,,918,,,1009,,,77,,,179,,,330,,,3791,,,5527,,,,1,
6425,2104,7871,1,Laxton-1748-1749-GeneralBill,,,13,,,December,,,1748,,,12,,,December,,,1749,,,34,,,66,,,5,,,34,,,,,,19,,,17,,,20,,,40,,,23,,,1,,,38,,,73,,,35,,,172,,,4,,,,,,17,,,12,,,16,,,43,,,2,,,5,,,129,,,5,,,3,,,35,,,55,,,14,,,23,,,8,,,12,,,10,,,73,,,32,,,12,,,15,,,21,,,3,,,12,,,19,,,47,,,23,,,14,,,8,,,21,,,31,,,16,,,1,,,,,,16,,,11,,,27,,,13,,,6,,,34,,,11,,,24,,,27,,,15,,,4,,,1,,,19,,,,,,24,,,5,,,22,,,10,,,,,,16,,,8,,,22,,,11,,,31,,,22,,,8,,,10,,,6,,,6,,,10,,,5,,,13,,,11,,1,24,,,2,,,21,,,3,,,5,,,18,,,10,,,8,,,44,,1,11,,,10,,,11,,,10,,,29,,,1026,,,1972,,,,1,,963,,,70,,,28,,,247,,1,801,,,416,,,,,,232,,,155,,,351,,,593,,1,353,,,340,,,758,,,620,,,172,,1,23,,1,,1,,4010,,,6122,,,,1,,228,,1,222,,,642,,,490,,,486,,,608,,,396,,,1157,,,588,,,236,,,443,,,218,,,860,,,1129,,,309,,,451,,,436,,,405,,,284,,,1197,,1,469,,1,486,,,5539,,,11740,,,,1,,462,,,437,,,975,,,1258,,,56,,,851,,,1184,,,84,,,94,,,281,,,3685,,,5682,,,,1,
