"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,Week,"Unique ID","Start Day","Start Month","End Day","End month","St Alban Woodstreet - Buried","St Alban Woodstreet - Plague","Alhallows Barking - Buried","Alhallows Barking - Plague","Alhallows Breadstreet - Buried","Alhallows Breadstreet - Plague","Alhallows Great - Buried","Alhallows Great - Plague","Alhallows Honylane - Buried","Alhallows Honylane - Plague","Alhallows Lesse - Buried","Alhallows Lesse - Plague","Alhallows Lumbardstreet - Buried","Alhallows Lumbardstreet - Plague","Alhallows Stayning - Buried","Alhallows Stayning - Plague","Alhallows the Wall - Buried","Alhallows the Wall - Plague","St Alphage - Buried","St Alphage - Plague","St Andrew Hubbard - Buried","St Andrew Hubbard - Plague","St Andrew Undershaft - Buried","St Andrew Undershaft - Plague","St Andrew Wardrobe - Buried","St Andrew Wardrobe - Plague","St Ann Aldersgate - Buried","St Ann Aldersgate - Plague","St Ann Blackfryers - Buried","St Ann Blackfryers - Plague","St Antholins Parish - Buried","St Antholins Parish - Plague","St Austins Parish - Buried","St Austins Parish - Plague","St Bartholomew Exchange - Buried","St Bartholomew Exchange - Plague","St Bennet Fynck - Buried","St Bennet Fynck - Plague","St Bennet Gracechurch - Buried","St Bennet Gracechurch - Plague","St Bennet Paulswharf - Buried","St Bennet Paulswharf - Plague","St Bennet Sherehog - Buried","St Bennet Sherehog - Plague","St Botolph Billingsgate - Buried","St Botolph Billingsgate - Plague","Christ Church - Buried","Christ Church - Plague","St Christophers - Buried","St Christophers - Plague","St Clement Eastcheap - Buried","St Clement Eastcheap - Plague","St Dionis Backchurch - Buried","St Dionis Backchurch - Plague","St Dunstan East - Buried","St Dunstan East - Plague","St Edmund Lumbardstr. - Buried","St Edmund Lumbardstr. - Plague","St Ethelborough - Buried","St Ethelborough - Plague","St Faith - Buried","St Faith - Plague","St Gabriel Fenchurch - Buried","St Gabriel Fenchurch - Plague","St George Botolphlane - Buried","St George Botolphlane - Plague","St Gregory by St Pauls - Buried","St Gregory by St Pauls - Plague","St Hellen - Buried","St Hellen - Plague","St James Dukes place - Buried","St James Dukes place - Plague","St James Garlickhithe - Buried","St James Garlickhithe - Plague","St John Baptist - Buried","St John Baptist - Plague","St John Evangelist - Buried","St John Evangelist - Plague","St John Zachary - Buried","St John Zachary - Plague","St Katharine Coleman - Buried","St Katharine Coleman - Plague","St Katharine Creechurch - Buried","St Katharine Creechurch - Plague","St Lawrence Jewry - Buried","St Lawrence Jewry - Plague","St Lawrence Pountney - Buried","St Lawrence Pountney - Plague","St Leonard Eastcheap - Buried","St Leonard Eastcheap - Plague","St Leonard Fosterlane - Buried","St Leonard Fosterlane - Plague","St Magnus Parish - Buried","St Magnus Parish - Plague","St Margaret Lothbury - Buried","St Margaret Lothbury - Plague","St Margaret Moses - Buried","St Margaret Moses - Plague","St Margaret Newfishstreet - Buried","St Margaret Newfishstreet - Plague","St Margaret Pattons - Buried","St Margaret Pattons - Plague","St Martin Iremongerlane - Buried","St Martin Iremongerlane - Plague","St Martin Ludgate - Buried","St Martin Ludgate - Plague","St Martin Orgars - Buried","St Martin Orgars - Plague","St Martin Outwich - Buried","St Martin Outwich - Plague","St Martin Vintrey - Buried","St Martin Vintrey - Plague","St Mary Abchurch - Buried","St Mary Abchurch - Plague","St Mary Aldermanbury - Buried","St Mary Aldermanbury - Plague","St Mary Aldermary - Buried","St Mary Aldermary - Plague","St Mary le Bow - Buried","St Mary le Bow - Plague","St Mary Bothaw - Buried","St Mary Bothaw - Plague","St Mary Colechurch - Buried","St Mary Colechurch - Plague","St Mary Hill - Buried","St Mary Hill - Plague","St Maudlin Milkstreet - Buried","St Maudlin Milkstreet - Plague","St Maudlin Oldfishstreet - Buried","St Maudlin Oldfishstreet - Plague","St Mary Mounthaw - Buried","St Mary Mounthaw - Plague","St Mary Sommerset - Buried","St Mary Sommerset - Plague","St Mary Stayning - Buried","St Mary Stayning - Plague","St Mary Woolchurch - Buried","St Mary Woolchurch - Plague","St Mary Woolnoth - Buried","St Mary Woolnoth - Plague","St Matthew Fridaystreet - Buried","St Matthew Fridaystreet - Plague","St Michael Bassishaw - Buried","St Michael Bassishaw - Plague","St Michael Cornhil - Buried","St Michael Cornhil - Plague","St Michael Crookedlane - Buried","St Michael Crookedlane - Plague","St Michael Queenhithe - Buried","St Michael Queenhithe - Plague","St Michael Quern - Buried","St Michael Quern - Plague","St Michael Royal - Buried","St Michael Royal - Plague","St Michael Woodstreet - Buried","St Michael Woodstreet - Plague","St Mildred Breadstreet - Buried","St Mildred Breadstreet - Plague","St Mildred Poultrey - Buried","St Mildred Poultrey - Plague","St Nicholas Acons - Buried","St Nicholas Acons - Plague","St Nicholas Coleabby - Buried","St Nicholas Coleabby - Plague","St Nicholas Olaves - Buried","St Nicholas Olaves - Plague","St Olave Hartstreet - Buried","St Olave Hartstreet - Plague","St Olave Jewry - Buried","St Olave Jewry - Plague","St Olave Silverstreet - Buried","St Olave Silverstreet - Plague","St Pancras Soperlane - Buried","St Pancras Soperlane - Plague","St Peter Cheap - Buried","St Peter Cheap - Plague","St Peter Cornhil - Buried","St Peter Cornhil - Plague","St Peter Paulswharf - Buried","St Peter Paulswharf - Plague","St Peter Poor - Buried","St Peter Poor - Plague","St Steven Colemanstreet - Buried","St Steven Colemanstreet - Plague","St Steven Walbrook - Buried","St Steven Walbrook - Plague","St Swithin - Buried","St Swithin - Plague","St Thomas Apostles - Buried","St Thomas Apostles - Plague","Trinity Parish - Buried","Trinity Parish - Plague","St Foster - Buried","St Foster - Plague","Christened in the 97 Parishes within the Walls","Buried in the 97 Parishes within the Walls","Plague in the 97 Parishes within the Walls","St Andrew Holborn - Buried","St Andrew Holborn - Plague","St Bartholomew Great - Buried","St Bartholomew Great - Plague","St Bartholomew Less - Buried","St Bartholomew Less - Plague","St Bridget - Buried","St Bridget - Plague","Bridewel Precinct - Buried","Bridewel Precinct - Plague","St Botolph Aldersgate - Buried","St Botolph Aldersgate - Plague","St Botolph Aldgate - Buried","St Botolph Aldgate - Plague","St Botolph Bishopsgate - Buried","St Botolph Bishopsgate - Plague","St Dunstan West - Buried","St Dunstan West - Plague","St George Southwark - Buried","St George Southwark - Plague","St Giles Cripplegate - Buried","St Giles Cripplegate - Plague","St Olave Southwark - Buried","St Olave Southwark - Plague","Saviours Southwark - Buried","Saviours Southwark - Plague","S Sepulchres Parish - Buried","S Sepulchres Parish - Plague","St Thomas Southwark - Buried","St Thomas Southwark - Plague","Trinity Minories - Buried","Trinity Minories - Plague","Pesthouse Without the Walls - Buried","Pesthouse Without the Walls - Plague","Christened in the parishes without the Walls","Buried in the parishes without the Walls","Plague in the parishes without the Walls","Christ Church in Surry - Buried","Christ Church in Surry - Plague","Stepney Parish - Buried","Stepney Parish - Plague","St Giles in the Field - Buried","St Giles in the Field - Plague","St James Clerkenwel - Buried","St James Clerkenwel - Plague","Hackney Parish - Buried","Hackney Parish - Plague","St John at Wapping - Buried","St John at Wapping - Plague","St Katharine Tower - Buried","St Katharine Tower - Plague","Lambeth Parish - Buried","Lambeth Parish - Plague","St Leonard Shoreditch - Buried","St Leonard Shoreditch - Plague","St Mary Islington - Buried","St Mary Islington - Plague","St Magdalen Bermondsey - Buried","St Magdalen Bermondsey - Plague","St Mary Newington - Buried","St Mary Newington - Plague","St Mary Whitechappel - Buried","St Mary Whitechappel - Plague","St Pauls Shadwel - Buried","St Pauls Shadwel - Plague","Rothorith Parish - Buried","Rothorith Parish - Plague","Christened in the out-Parishes in Middlesex and Surrey","Buried in the out-Parishes in Middlesex and Surrey","Plague in the out-Parishes in Middlesex and Surrey","St Ann in Westminster - Buried","St Ann in Westminster - Plague","St Clement Danes - Buried","St Clement Danes - Plague","St James in Westminster - Buried","St James in Westminster - Plague","St Margaret Westminster - Buried","St Margaret Westminster - Plague","St Martin in the fields - Buried","St Martin in the fields - Plague","St Mary Savoy - Buried","St Mary Savoy - Plague","St Paul Covent Garden - Buried","St Paul Covent Garden - Plague","Pesthouse in Westminster - Buried","Pesthouse in Westminster - Plague","Christened in the Parishes and Liberties of Westminster","Buried in the Parishes and Liberties of Westminster","Plague in the Parishes and Liberties of Westminster"
32929,25168,4828,1,1698,15,Bl-1698-15-recto,22,March,29,March,,,,,,,,,,,,,,,,,3,,1,,,,,,2,,1,,3,,1,,,,,,,,,,,,,,,,2,,,,1,,,,,,2,,,,1,,,,,,1,,,,1,,1,,1,,,,,,2,,2,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,1,,1,,,,,,,,2,,,,1,,2,,,,,,,,,,9,,,,1,,,,,,,,34,53,,15,,,,,,3,,1,,5,,8,,4,,1,,6,,14,,11,,7,,13,,1,,2,,,,100,91,0,5,,33,,20,,3,,6,,6,,3,,4,,7,,3,,9,,3,,11,,8,,5,,89,126,0,9,,7,,21,,14,,32,,2,,1,,,,70,86,0
32930,25169,4829,1,1698,16,BL-1698-16-recto,29,March,5,April,,,1,,1,,1,,,,2,,,,,,3,,1,,2,,1,,1,,1,,2,,,,,,,,,,,,,,,,,,5,,1,,1,,,,,,2,,,,1,,,,,,2,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,1,,2,,,,,,1,,2,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,2,,1,,,,,,,,,,,,,,1,,,,,,1,,,,2,,3,,1,,1,,,,,,,,38,57,0,12,,1,,1,,7,,,,2,,14,,6,,3,,5,,19,,7,,11,,11,,1,,1,,,,87,101,0,1,,42,,19,,7,,4,,9,,,,6,,5,,2,,11,,5,,18,,10,,,,125,139,0,9,,3,,22,,18,,33,,2,,3,,,,56,90,0
32931,25170,4830,1,1698,17,BL-1698-17-recto,5,April,12,April,,,2,,,,1,,,,,,,,,,,,,,,,,,3,,1,,5,,,,,,,,,,1,,,,,,,,2,,1,,2,,,,1,,1,,1,,,,1,,,,2,,,,1,,,,,,,,1,,,,2,,,,,,,,,,,,3,,,,,,1,,,,3,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,2,,,,,,1,,1,,1,,2,,1,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,2,,,,1,,,,,,,,34,54,0,16,,7,,,,4,,,,2,,7,,4,,4,,7,,19,,11,,10,,8,,5,,1,,,,88,98,0,2,,38,,22,,5,,5,,4,,5,,5,,7,,1,,8,,3,,8,,8,,7,,100,128,0,7,,8,,32,,17,,30,,1,,4,,,,84,99,0
32962,25171,4831,1,1698,18,BL-1698-18-recto,12,April,19,April,,,1,,,,,,,,,,,,3,,1,,,,,,2,,,,,,4,,,,,,1,,,,,,1,,,,1,,3,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,3,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2,,,,,,,,1,,1,,34,38,,25,,1,,,,3,,,,2,,9,,9,,3,,2,,15,,7,,8,,17,,,,2,,,,100,96,0,4,,44,,24,,2,,1,,4,,4,,6,,6,,,,8,,5,,12,,9,,3,,121,132,0,12,,8,,12,,14,,19,,,,6,,,,55,71,0
32963,25172,4832,1,1698,19,BL-1698-19-recto,19,April,26,April,,,1,,,,,,,,1,,,,,,1,,,,,,,,3,,,,1,,,,,,,,1,,1,,,,,,,,2,,1,,,,1,,,,,,1,,,,,,1,,,,2,,2,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,1,,2,,,,,,2,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,43,39,,17,,1,,,,5,,,,3,,9,,2,,1,,5,,18,,10,,10,,16,,,,,,,,60,97,0,2,,44,,27,,5,,1,,4,,2,,1,,9,,1,,10,,1,,9,,6,,4,,88,126,0,18,,2,,14,,21,,22,,,,4,,,,67,81,0
32964,25173,4833,1,1698,20,BL-1698-20-recto,26,April,3,May,,,,,1,,1,,,,,,,,1,,,,,,,,,,1,,,,2,,,,,,1,,1,,,,,,,,,,3,,1,,2,,3,,3,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,1,,,,,,1,,,,1,,,,,,1,,,,,,,,1,,,,1,,2,,,,1,,1,,,,,,,,2,,,,5,,,,,,,,,,,,,,,,8,,,,,,,,,,,,47,56,,21,,4,,3,,9,,2,,6,,10,,8,,3,,4,,18,,11,,10,,8,,,,,,,,101,117,0,6,,40,,25,,11,,,,8,,2,,7,,6,,1,,7,,3,,19,,13,,4,,109,152,0,9,,8,,19,,15,,27,,,,2,,,,50,80,0
32965,25174,4834,1,1698,21,BL-1698-21-recto,3,May,10,May,,,,,,,,,,,1,,1,,,,2,,3,,,,1,,1,,2,,4,,1,,,,,,,,,,3,,,,,,4,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,1,,2,,,,,,1,,,,2,,,,1,,3,,,,1,,,,1,,,,,,,,,,,,2,,2,,,,,,,,,,,,2,,,,,,,,3,,,,48,54,0,11,,,,,,8,,1,,4,,11,,11,,10,,7,,16,,17,,11,,6,,5,,2,,,,91,120,0,,,43,,34,,9,,,,11,,5,,3,,6,,1,,9,,4,,10,,7,,4,,101,146,0,8,,12,,21,,23,,31,,3,,3,,,,82,101,0
32966,25175,4835,1,1698,22,BL-1698-22-recto,01,May,17,May,,,2,,,,1,,,,1,,,,,,,,,,3,,,,2,,,,4,,1,,,,1,,1,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,1,,2,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,1,,,,,,,,,,52,40,0,12,,2,,,,2,,1,,3,,5,,10,,2,,1,,25,,13,,11,,12,,3,,,,,,84,102,0,4,,46,,30,,6,,1,,7,,1,,4,,11,,1,,5,,4,,14,,10,,4,,104,148,0,6,,8,,15,,18,,31,,,,6,,,,50,84,0
32967,25176,4836,1,1698,23,BL-1698-23-recto,17,May,24,May,,,3,,,,1,,,,,,,,,,,,,,,,,,1,,1,,3,,,,,,1,,,,1,,,,,,1,,1,,1,,,,,,1,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,1,,,,,,,,,,2,,2,,,,1,,,,,,,,1,,,,,,,,2,,1,,,,,,,,,,,,1,,,,,,1,,,,,,3,,,,3,,,,1,,2,,,,,,,,,,1,,,,4,,,,1,,,,,,1,,42,50,0,17,,1,,2,,5,,,,2,,14,,7,,2,,3,,23,,13,,4,,16,,2,,,,,,94,111,0,3,,53,,19,,5,,3,,4,,2,,9,,8,,2,,6,,2,,9,,5,,3,,110,133,0,11,,11,,17,,11,,28,,,,3,,,,57,81,0
32968,25177,4838,1,1698,24,BL-1698-24-recto,24,May,31,May,,,,,,,,,,,,,,,1,,3,,1,,,,2,,2,,,,6,,,,,,,,,,,,,,,,,,4,,,,,,1,,1,,,,2,,,,1,,,,2,,,,,,,,,,,,,,1,,2,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,2,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,2,,,,1,,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,42,47,,13,,,,,,3,,,,2,,9,,4,,2,,6,,25,,20,,7,,14,,3,,,,,,83,108,0,4,,41,,23,,5,,5,,7,,4,,7,,4,,,,7,,3,,11,,13,,3,,110,137,0,8,,12,,12,,18,,27,,2,,3,,,,51,82,0
32969,25178,4840,1,1698,26,BL-1698-26-recto,7,June,14,June,,,1,,,,,,,,,,,,,,,,,,1,,1,,2,,1,,2,,,,1,,1,,,,,,1,,,,,,2,,,,,,,,1,,2,,2,,3,,1,,,,3,,,,,,,,,,,,,,,,2,,1,,,,1,,1,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,1,,1,,1,,1,,,,1,,1,,,,,,,,,,,,,,2,,,,1,,,,,,1,,1,,,,,,1,,,,,,,,,,42,51,0,15,,1,,,,7,,,,3,,9,,10,,3,,6,,15,,9,,11,,13,,2,,,,,,97,104,0,5,,51,,28,,9,,,,10,,7,,,,9,,2,,8,,2,,14,,12,,3,,103,160,0,6,,10,,13,,15,,28,,,,1,,,,45,73,0
32970,25179,4841,1,1698,27,BL-1698-27-recto,14,June,21,June,,,4,,,,,,,,1,,,,1,,2,,1,,,,,,2,,,,4,,,,,,,,,,,,,,,,1,,3,,,,1,,,,2,,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,,2,,2,,,,,,,,,,1,,,,,,,,2,,2,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,1,,3,,1,,2,,,,1,,1,,42,55,0,18,,2,,,,6,,,,3,,8,,6,,3,,8,,13,,8,,8,,8,,1,,1,,,,102,93,0,4,,40,,30,,3,,3,,7,,,,5,,7,,4,,7,,,,13,,13,,4,,117,140,0,9,,5,,12,,15,,22,,1,,3,,,,49,67,0
32971,25180,4842,1,1698,28,BL-1698-28-recto,21,June,28,June,1,,2,,,,,,,,,,,,,,1,,1,,1,,,,,,,,1,,,,2,,1,,2,,,,1,,,,,,5,,,,,,,,1,,4,,1,,2,,1,,,,3,,2,,,,3,,,,,,1,,2,,2,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,1,,2,,1,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,,1,,1,,1,,,,,,,,1,,51,64,0,15,,,,,,2,,1,,2,,7,,5,,2,,2,,17,,12,,8,,13,,2,,,,,,97,88,0,6,,52,,20,,11,,3,,5,,3,,8,,8,,2,,13,,2,,15,,9,,,,120,157,0,9,,9,,31,,9,,20,,1,,4,,,,56,83,0
33002,25181,4844,1,1698,29,BL-1698-29-recto,28,June,5,July,,,3,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,1,,,,,,,,2,,,,,,,,1,,,,,,1,,,,1,,,,,,,,1,,,,,,2,,,,1,,,,,,2,,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,39,34,0,18,,1,,1,,10,,,,5,,9,,9,,4,,6,,17,,9,,6,,12,,1,,,,,,100,108,0,1,,46,,21,,8,,,,6,,1,,3,,3,,2,,11,,4,,12,,11,,6,,116,135,0,4,,9,,15,,13,,30,,2,,5,,,,43,78,0
33003,25182,4845,1,1698,30,BL-1698-30-recto,5,July,12,July,1,,2,,1,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,1,,,,2,,,,,,5,,,,,,,,2,,,,1,,1,,1,,,,,,,,1,,1,,1,,2,,3,,1,,1,,,,,,,,1,,1,,1,,,,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,1,,50,48,,14,,3,,2,,1,,,,2,,21,,10,,3,,1,,12,,12,,19,,17,,1,,,,,,100,118,0,3,,48,,18,,2,,1,,9,,4,,5,,7,,1,,5,,1,,13,,9,,,,108,126,0,9,,4,,19,,14,,23,,1,,7,,,,51,77,0
33004,25183,4846,1,1698,31,BL-1698-31-recto,12,July,19,July,,,,,,,,,,,,,2,,1,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,3,,1,,1,,,,,,,,,,,,,,,,3,,,,2,,,,1,,,,,,1,,,,1,,,,,,1,,,,,,1,,,,2,,,,,,,,1,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,42,38,0,23,,2,,1,,9,,,,3,,10,,10,,6,,2,,17,,6,,18,,18,,1,,,,,,107,126,0,3,,37,,16,,6,,3,,9,,3,,4,,15,,2,,8,,6,,11,,15,,5,,115,143,0,6,,10,,16,,22,,20,,1,,2,,,,65,77,0
33005,25184,4847,1,1698,32,BL-1698-32-recto,19,July,26,July,1,,3,,1,,,,,,1,,1,,2,,,,,,2,,1,,,,,,1,,2,,1,,1,,1,,,,,,1,,,,3,,,,1,,,,1,,,,1,,,,,,,,3,,2,,,,,,,,,,2,,1,,1,,2,,1,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,2,,,,,,,,1,,,,,,,,,,,,,,3,,5,,,,,,,,,,1,,42,59,,19,,4,,,,8,,,,5,,13,,6,,3,,4,,23,,22,,15,,9,,2,,,,,,115,133,0,4,,39,,29,,9,,6,,10,,4,,3,,8,,2,,14,,6,,12,,12,,5,,100,163,0,6,,7,,18,,14,,22,,1,,1,,,,46,69,0
33006,25185,4848,1,1698,33,BL-1698-33-recto,26,July,2,August,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,2,,2,,,,1,,1,,,,,,,,,,1,,,,,,1,,,,2,,,,2,,1,,,,,,1,,1,,,,2,,,,,,,,,,2,,1,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,2,,,,,,1,,1,,1,,,,1,,,,,,2,,,,,,,,1,,,,,,,,,,3,,,,,,3,,,,1,,,,,,1,,42,47,,8,,,,,,3,,2,,4,,13,,6,,3,,8,,26,,12,,13,,14,,2,,,,,,101,114,0,4,,39,,26,,2,,3,,5,,,,7,,10,,3,,13,,7,,9,,11,,5,,106,144,0,5,,7,,23,,13,,19,,2,,5,,,,46,74,0
33007,25186,4849,1,1698,34,BL-1698-34-recto,2,August,9,August,1,,1,,,,2,,,,1,,,,,,,,1,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,1,,1,,,,1,,,,1,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,2,,,,,,,,2,,,,,,2,,,,,,2,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,2,,1,,,,2,,1,,,,,,42,46,,12,,1,,,,1,,1,,6,,10,,15,,2,,2,,30,,19,,11,,11,,1,,,,,,104,122,0,6,,44,,20,,8,,3,,6,,2,,5,,10,,1,,15,,5,,17,,11,,4,,112,157,0,8,,8,,18,,19,,37,,1,,3,,,,80,94,0
33008,25187,4850,1,1698,35,BL-1698-35-recto,9,August,16,August,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,1,,1,,2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,2,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,2,,41,30,0,16,,,,,,4,,,,3,,7,,7,,4,,4,,21,,13,,5,,6,,1,,,,,,80,91,0,2,,43,,27,,6,,,,10,,6,,6,,6,,,,11,,3,,9,,9,,3,,101,135,0,3,,3,,16,,13,,24,,2,,5,,,,45,66,0
33009,25188,4852,1,1698,36,BL-1698-36-recto,16,August,23,August,,,4,,1,,,,,,,,1,,,,1,,1,,,,1,,1,,1,,1,,,,,,,,,,1,,1,,,,,,3,,,,,,,,1,,2,,1,,,,1,,,,2,,,,,,,,,,,,,,,,3,,1,,2,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,,1,,2,,,,,,,,1,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,2,,,,2,,7,,,,1,,1,,1,,,,42,58,,12,,2,,,,5,,,,2,,11,,6,,6,,7,,29,,13,,10,,10,,1,,1,,,,100,121,0,3,,52,,23,,8,,1,,12,,3,,4,,10,,3,,7,,5,,13,,11,,3,,106,158,0,8,,8,,13,,11,,25,,,,1,,,,45,66,0
33010,25189,4854,1,1698,37,BL-1698-37-recto,23,August,30,August,,,3,,,,1,,,,1,,1,,,,3,,2,,1,,,,,,1,,2,,1,,2,,2,,1,,2,,3,,,,,,2,,,,,,,,2,,,,1,,,,2,,,,,,,,,,1,,,,,,1,,2,,1,,1,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,1,,1,,,,1,,,,,,,,,,,,1,,3,,,,2,,,,,,,,,,1,,2,,,,,,,,,,,,42,57,,12,,,,2,,,,2,,4,,10,,14,,,,5,,20,,11,,8,,13,,3,,1,,,,110,105,0,,,49,,21,,8,,2,,5,,2,,8,,9,,3,,11,,,,18,,10,,3,,103,149,0,6,,16,,15,,10,,23,,4,,1,,,,50,75,0
33011,25190,4855,1,1698,38,BL-1698-38-recto,30,August,6,September,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,5,,,,,,2,,,,,,1,,,,,,,,1,,1,,,,,,1,,,,,,1,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,4,,,,1,,,,,,,,46,37,0,20,,2,,1,,7,,,,7,,9,,2,,3,,5,,25,,12,,14,,11,,3,,,,,,104,121,0,2,,30,,28,,8,,3,,4,,5,,10,,12,,2,,14,,,,11,,12,,5,,117,146,0,7,,5,,18,,20,,25,,2,,3,,,,49,80,0
33045,25191,4856,1,1698,39,BL-1698-39-recto,6,September,13,September,,,1,,,,2,,,,1,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,4,,,,1,,,,2,,,,,,3,,,,,,3,,,,,,2,,,,,,1,,1,,,,,,,,3,,1,,2,,2,,,,,,,,,,2,,1,,,,,,,,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,38,48,0,14,,1,,,,5,,,,2,,9,,6,,4,,4,,17,,16,,7,,6,,1,,,,,,96,92,0,3,,51,,20,,7,,4,,7,,4,,5,,14,,2,,11,,3,,14,,8,,3,,93,156,0,11,,9,,10,,15,,19,,1,,3,,,,49,68,0
